Lake,Year,doy,Date,Temp_Sonde,pH,DOsat,DOconc,BGA_HYLB,Chl_Manual,Zmix_daily,Temp_zMix_daily,Zmix_hfAve,Temp_zMix_hfAve,PAR_mean,AirTemp_mean,WindSpd_mean,WindGust_mean,WindDir_mean,P_mg_m2_day,N_mg_m2_day,tn_ug,tp_ug,DOC,Color
L,2008,134,5/13/2008,12.76908828,6.606902253,104.1717251,10.36623133,NA,NA,1.5,12.76908828,NA,NA,34.79375,13.68504167,0.6965625,1.959583333,127.0822917,0,0,NA,NA,NA,NA
L,2008,135,5/14/2008,12.92315207,6.598743447,102.8677156,10.20108963,NA,NA,1.5,12.92315207,NA,NA,619.5506944,8.173138889,1.892916667,4.126666667,230.9402778,0,0,NA,NA,NA,NA
L,2008,136,5/15/2008,13.85039051,6.623119807,104.6829307,10.16899598,NA,4.47853,1.5,13.85039051,NA,NA,613.0315972,12.5591875,1.064479167,2.66125,211.7045139,0,0,230.64,9.46,4.29,0.054
L,2008,137,5/16/2008,15.25129823,6.584275333,104.2608093,9.823023733,NA,3.90931,1.5,15.25129823,NA,NA,342.1201389,14.07473958,1.005625,2.459375,254.9048611,0,0,224.278,9.116,4.308,0.0542
L,2008,138,5/17/2008,14.94511,6.598640828,101.8843581,9.662885452,NA,3.49532,1.5,14.94511,NA,NA,538.4569444,9.66303125,1.807534722,4.193715278,297.4715278,0,0,217.916,8.772,4.326,0.0544
L,2008,139,5/18/2008,13.87352142,6.605560257,99.6431095,9.674480424,NA,4.37033,2,13.87352142,NA,NA,352.0854167,4.773934028,2.037604167,4.514375,265.675,0,0,211.554,8.428,4.344,0.0546
L,2008,140,5/19/2008,13.58371292,6.639285232,100.3550341,9.806299687,NA,2.46978,2,13.58371292,NA,NA,558.3180556,7.126010417,1.109583333,2.464513889,256.1368056,0,0,205.192,8.084,4.362,0.0548
L,2008,141,5/20/2008,13.87786824,6.636135201,99.94456709,9.702818188,NA,2.79438,2,13.87786824,NA,NA,643.465625,7.836864583,2.1603125,4.734201389,290.4680556,0,0,198.83,7.74,4.38,0.055
L,2008,142,5/21/2008,14.20373732,6.627568499,99.80647923,9.620151656,NA,2.99666,2,14.20373732,NA,NA,662.3024306,7.376600694,1.699826389,3.710451389,275.2246528,0,0,204.2357143,7.384285714,4.47,0.055
L,2008,143,5/22/2008,14.61329053,6.597592695,99.24020387,9.480248709,NA,1.86292,2,14.61329053,NA,NA,485.3232639,8.021607639,1.601979167,3.272465278,124.9072917,0,0,209.6414286,7.028571429,4.56,0.055
L,2008,144,5/23/2008,15.42077004,6.560994408,99.9825286,9.385624746,NA,1.5257,2,15.42077004,NA,NA,664.0472222,10.96350347,1.816875,3.697430556,46.51493056,0,0,215.0471429,6.672857143,4.65,0.055
L,2008,145,5/24/2008,16.411452,6.528091854,100.4032871,9.228069553,NA,2.72365,2,16.411452,NA,NA,651.8944444,13.01071528,1.108680556,2.524305556,127.1163194,0,0,220.4528571,6.317142857,4.74,0.055
L,2008,146,5/25/2008,17.10013521,6.481960134,99.33410306,8.998513123,NA,1.90656,2,17.10013521,NA,NA,357.2850694,14.22176389,1.677118056,3.841736111,185.4243056,0,0,225.8585714,5.961428571,4.83,0.055
L,2008,147,5/26/2008,17.01728582,6.440967298,96.35440567,8.743734185,NA,3.15742,2,17.01728582,NA,NA,318.1704861,9.567385417,1.811076389,3.894861111,167.8208333,0,0,231.2642857,5.605714286,4.92,0.055
L,2008,148,5/27/2008,15.8142168,6.477821679,96.13479294,8.948643262,NA,2.07805,2,15.8142168,NA,NA,672.9534722,5.451888889,1.564201389,3.237222222,139.1065972,0,0,236.67,5.25,5.01,0.055
L,2008,149,5/28/2008,16.16053567,6.482146139,96.97636653,8.96063152,NA,1.6939,2,16.16053567,NA,NA,670.4361111,11.19603472,0.968611111,2.2896875,210.9565972,0,0,244.3,5.928571429,5.038571429,0.055428571
L,2008,150,5/29/2008,17.42589987,6.533541434,100.3725431,9.031012352,NA,4.32254,2,17.42589987,NA,NA,623.9951389,15.18839236,1.018472222,2.384340278,190.9052083,0,0,251.93,6.607142857,5.067142857,0.055857143
L,2008,151,5/30/2008,17.17452526,6.510781312,97.97431751,8.861543882,NA,2.93549,2,17.17452526,NA,NA,113.23125,11.89215972,1.481111111,3.578854167,198.3930556,0,0,259.56,7.285714286,5.095714286,0.056285714
L,2008,152,5/31/2008,16.06103948,6.469347752,95.35788071,8.829739149,NA,5.06398,2,16.06103948,NA,NA,197.3111111,11.46302778,1.558229167,3.713576389,302.7482639,0,0,267.19,7.964285714,5.124285714,0.056714286
L,2008,153,6/1/2008,16.03069386,6.51440726,97.43369468,9.027778932,NA,2.74887,2,16.03069386,NA,NA,544.8284722,14.56268056,1.086666667,2.4778125,213.4576389,0,0,274.82,8.642857143,5.152857143,0.057142857
L,2008,154,6/2/2008,17.06185851,6.542140391,99.91288502,9.058194374,NA,4.912902,2,17.06185851,NA,NA,369.8545139,13.4720625,0.731388889,1.619201389,198.1256944,0,0,282.45,9.321428571,5.181428571,0.057571429
L,2008,155,6/3/2008,16.57021838,6.540637397,98.9663657,9.065546733,NA,6.86966,2,16.57021838,NA,NA,330.2104167,12.65889931,1.369201389,3.068125,67.49409722,0,0,290.08,10,5.21,0.058
L,2008,156,6/4/2008,16.37275621,6.577884406,99.67081897,9.1682519,NA,8.81874,2,16.37275621,NA,NA,281.0958333,14.20477431,1.24125,2.865104167,133.1086806,0,0,285.4614286,9.72,5.081428571,0.059571429
L,2008,157,6/5/2008,16.88651161,6.602040567,100.4128294,9.137033646,NA,3.11203,2,16.88651161,NA,NA,220.5055556,13.51614583,1.394375,2.796111111,84.57951389,0,0,280.8428571,9.44,4.952857143,0.061142857
L,2008,158,6/6/2008,17.64181519,6.60780788,100.4153416,8.994445374,NA,5.38678,2,17.64181519,NA,NA,410.5663194,18.85011111,2.898055556,7.094791667,172.6034722,0,0,276.2242857,9.16,4.824285714,0.062714286
L,2008,159,6/7/2008,18.75391785,6.628489227,101.2416687,8.863625717,NA,3.81312,1,18.75391785,NA,NA,546.9378472,20.42620833,1.903506944,4.771944444,195.3083333,0,0,271.6057143,8.88,4.695714286,0.064285714
L,2008,160,6/8/2008,20.14338214,6.611427521,103.8816488,8.84379303,NA,10.23853,1,20.14338214,NA,NA,187.91875,17.87425694,0.677777778,1.566111111,157.03125,0,0,266.9871429,8.6,4.567142857,0.065857143
L,2008,161,6/9/2008,20.73721648,6.52426163,100.9125342,8.490456183,NA,2.18901,1,20.73721648,NA,NA,591.2,18.47664931,1.700381944,4.163229167,219.921875,0,0,262.3685714,8.32,4.438571429,0.067428571
L,2008,162,6/10/2008,20.60157238,6.553241561,99.72769653,8.413286534,NA,2.69339,1,20.60157238,NA,NA,430.4100694,14.11366319,1.099756944,2.483680556,223.4291667,0,0,257.75,8.04,4.31,0.069
L,2008,163,6/11/2008,18.73747689,6.508610344,95.6847023,8.379922915,NA,7.60101,1,18.73747689,NA,NA,164.6461806,9.202975694,1.539791667,3.49125,85.48923611,0,0,253.9885714,7.471428571,4.33,0.069
L,2008,164,6/12/2008,17.81094278,6.495437477,95.46601548,8.521236937,NA,3.95939,1,17.81094278,NA,NA,230.8701389,16.55893403,1.592638889,3.755347222,153.25625,0,0,250.2271429,6.902857143,4.35,0.069
L,2008,165,6/13/2008,19.41367033,6.586914002,101.5858115,8.775699421,NA,3.60128,1,19.41367033,NA,NA,614.8024306,18.34795486,1.754791667,4.4628125,201.0505208,0,0,246.4657143,6.334285714,4.37,0.069
L,2008,166,6/14/2008,19.96746115,6.610878206,101.7285017,8.690932735,NA,12.09827,2,19.96746115,NA,NA,535.2538194,16.75136806,1.323680556,3.252916667,245.5760417,0,0,242.7042857,5.765714286,4.39,0.069
