"Lake","Year","Date","DOYtrunc","BGA_YSI","BGA_HYLB","Chl_YSI","Chl_HYLB","DO_YSI","DO_HYLB","DOlocalSat_YSI","DOlocalSat_HYLB","pH_YSI","pH_HYLB","SpCond_YSI","SpCond_HYLB","Temp_YSI","Temp_HYLB","BGA_YSI_ugL_correctedToFLAMe","Chl_YSI_ugL_correctedToFLAMe","BGA_logged_HYLB","Manual_Chl"
"L",2018,2018-05-18,138,0.0501229186179189,289.414798082611,1.3558983786521,2.44739530953606,8.99452875989742,8.87505240593925,99.3323930256995,98.6238467169761,6.5440136791408,6.27408987003441,11.0000000197561,10.750316687592,17.1962205389756,17.5148166395113,NA,NA,2.46276557059504,NA
"L",2018,2018-05-19,139,0.0572797808166903,321.118667489683,1.68383580439304,3.11371269262353,8.91416987360204,8.88163667551032,98.6200133082457,98.8131177148365,6.53960239043692,6.26971723133877,11.000000003419,10.7485615576755,17.288834956074,17.3863902830706,NA,NA,2.50785066788209,NA
"L",2018,2018-05-20,140,0.0621911513819763,350.775968542045,1.44480666260192,2.72390157503509,9.04383674897106,8.99255810959461,97.0975940177238,96.9551123335728,6.52957300823878,6.27438468364418,11.0000000002666,10.7478107290962,15.849376308393,15.7679759723519,NA,NA,2.54619102903099,NA
"L",2018,2018-05-21,141,0.0471875,365.588490808922,1.22708333333333,2.28475962258366,9.07420138888889,9.02331595348288,99.3371527777778,99.2233083737423,6.5646875,6.29690657441618,11.0000000001882,10.7475775335857,16.775625,16.7037350432361,NA,NA,2.56416649344048,NA
"L",2018,2018-05-22,142,0.0426736111111111,372.361295605195,1.08090277777778,2.05238891913115,8.8778125,8.84445559615455,99.7659722222222,99.7929209965089,6.55833333333333,6.29212873934986,11.0000000264329,10.7477108158007,18.0456944444444,17.9507529924736,NA,NA,2.57212707103213,NA
"L",2018,2018-05-23,143,0.0312638063219808,373.375685451694,1.03060610399721,1.91576101616493,8.72879448920011,8.6836859494299,100.339004451198,100.26369358268,6.55123619093835,6.27808733957991,11.0000000318404,10.7482969569525,19.1542023595565,19.0629071864428,NA,NA,2.57330653849536,NA
"L",2018,2018-05-24,144,0.0320908293361096,370.611652604818,1.42232713151904,2.59944779203659,8.36385416666667,8.33452497480984,98.3897246588447,98.4781481665597,6.50684183591588,6.25060645374064,11.0000046793793,10.7497153826043,20.2163541666667,20.1499868902153,NA,NA,2.57008912581408,NA
"L",2018,2018-05-25,145,0.0300373105895496,368.749517222271,1.34435370819038,2.51968248119904,8.28232638888889,8.24577532990739,97.9513888888889,97.9516729709264,6.51444444444444,6.25049890147333,11,10.7528838271318,20.5845486111111,20.5131495946936,NA,NA,2.56790662521619,NA
"L",2018,2018-05-26,146,0.0265516144988403,365.843667308373,1.23269108394149,2.29219245537734,8.15962014084812,8.12488010905059,98.7269135350477,98.6903382687494,6.50519832329939,6.24041212561092,11.0069451129561,10.7590584578816,21.7362470974566,21.6264832198836,NA,NA,2.56447918409177,NA
"L",2018,2018-05-27,147,0.0216544607801278,362.739846294013,1.14554354492758,2.14385446503244,7.91890331067631,7.87754755249309,98.3676713238957,98.2701752268695,6.46778926164866,6.20731491846217,11.0416673772143,10.7652538996788,23.1051028987925,22.9749463091123,NA,NA,2.56078797070924,NA
