"year","lake","lakeid","doy","percentChange","SE.percent","date_start","date_peak","date_end","duration","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","precip","PML.g440","biomass","biomass.during","cumulative.load","daily.load","stability.before","stability.during","stability.after","daphnia.biomass.before","daphnia.biomass.during","daphnia.biomass.after","total.biomass.before","total.biomass.during","total.biomass.after","manual.chl.before","manual.chl.during","zoop.days.before","daphnia.length.before","daphnia.length.during","daphnia.length.after","pchange.total.zoop","abschange.total.zoop","pchange.total.zoop.during.to.after","pchange.daphnia.length","abschange.daphnia.zoop","abschange.daphnia.zoop.during.to.after","tp_ugL.before","tp_ugL.after","tp_ugL.during","tn_ugL.before","tn_ugL.after","tn_ugL.during"
2009,"Peter","R",172,135.55536073946,18.1589733921224,"2009-06-21","2009-06-24","2009-06-27",7,3.2059,4.5326,0.983,22.4412,1.2302,2.5538,0.9888,8.6116,25.4475,26.784,1.0864,178.1328,0.7814,0.9851,0.762,1.22059,1.38048853133954,1.38048853133954,0,0,143.426751435219,204.874147755758,130.961364774242,0.567698106424554,1.38048853133954,0.497224517294923,4.13083174613385,4.68976868727818,3.75283410556052,2.9708,4.05017,6,0.743754029,0.993339062,0.813317299,13.5308571129157,0.558936941144333,-19.9782685286645,25.1258651298261,0.812790424914986,-0.883264014044617,7.15,7.93,9.8,359.23,310.29,315.62
2010,"Peter","R",140,150.673640366447,26.2532943056068,"2010-05-20","2010-05-26","2010-06-03",15,4.0877,5.8093,1.1848,61.3149,1.9105,3.6662,1.1125,28.6579,21.6315,23.467,1.8244,324.4727,0.5579,0.3799,12.446,1.08241,0.277498555734281,0.688282850063179,0,0,64.8124434578742,143.826498469759,131.945011793351,0.277498555734281,0.336854256848317,1.37776329417504,4.51222912874329,5.63826138527868,5.38096418315402,3.00233,1.59792,3,0.815171778,0.724634707,0.87044102,24.9551213913866,1.12603225653539,-4.56341387074492,-12.4941670783097,0.059355701114036,1.04090903732672,2.686319684,4.563553906,3.409997979,347.8591777,400.0112128,296.5413667
2010,"Peter","R",221,20.930801926238,20.6697763317118,"2010-08-09","2010-08-13","2010-08-15",7,2.9202,3.6394,0.593,20.4416,1.4987,2.2374,0.6116,10.491,26.021,26.6784,0.5505,182.1471,0.4556,0.7989,66.802,1.47392,0.0307258104650925,NA,0,0,193.954121610312,211.259659438159,142.540311135863,0.367966776181654,0.177115515739985,1.40358625007005,0.967764564853775,0.775214212475177,1.86090559513851,6.75365,2.92541,7,0.952493191,0.882924557,1.169310093,-19.8964044945882,-0.192550352378599,140.050500260675,-7.87934070339827,-0.190851260441669,1.22647073433006,5.097733,3.705775639,5.097733,233.9212514,280.807653,233.9212514
2011,"Peter","R",199,24.6864558963461,22.7474178329912,"2011-07-18","2011-07-21","2011-07-24",7,2.9251,3.7303,0.6274,20.4756,1.1507,1.9477,0.6113,8.0552,26.7932,27.6044,0.635,187.5525,0.5005,0.572,23.114,1.58907,0.508217480997561,0.508217480997561,0,0,187.446228323749,225.497223932925,209.026498242879,0.263575973776182,0.508217480997561,0.256621031585997,1.12538514006029,1.39271919165046,0.814487871551342,2.02107,2.655051449,7,0.800659418,0.930391312,0.988029003,23.7548943978281,0.267334051590171,-41.5181555309708,13.9437989506936,0.244641507221379,-0.251596449411564,-1.351206138,4.990912034,-1.351206138,354.2733759,292.4525381,354.2733759
2011,"Peter","R",216,59.9595204894097,13.1568025238872,"2011-08-04","2011-08-06","2011-08-08",5,2.0795,2.4715,0.3508,10.3976,0.5547,0.9453,0.3653,2.7733,25.5363,25.9316,0.3104,127.6813,0.4091,0.3055,75.438,1.58907,0.508217480997561,NA,0,0,212.777441705715,222.573803527815,197.138852467973,0.0515968942128978,NA,0.381128035584544,0.556683042340733,NA,0.737027318736608,3.81664,NA,3,0.863123178,NA,1.159717441,NA,NA,NA,NA,NA,NA,5.907102086,10.88024096,NA,267.0150712,385.055523,NA
2011,"Peter","R",228,-17.9276644853213,7.03099187025428,"2011-08-16","2011-08-17","2011-08-20",5,1.7975,2.0479,0.2918,8.9875,0.4501,0.6968,0.2863,2.2503,24.4682,24.8451,0.4141,122.3408,0.2372,0.2624,10.668,1.58907,0.508217480997561,NA,0,0,196.873854511275,206.849638250911,179.512609266972,0.0573022848706304,NA,0.100034915649817,0.273046707391667,NA,0.289437794236701,6.11434,NA,1,1.127123237,NA,0.742521763,NA,NA,NA,NA,NA,NA,0.876711051,1.187144456,NA,366.3374603,363.0710001,NA
2013,"Peter","R",196,7.70166483832747,12.028682035022,"2013-07-15","2013-07-18","2013-07-20",6,3.7658,4.7756,0.9193,22.5951,1.9626,2.9714,0.9176,11.7757,27.6261,28.6459,0.9291,165.7569,0.7802,0.9845,82.042,2.94784,0.600949447918687,0.600949447918687,56.1875,2.375,205.930370979004,242.341601352292,187.75797996186,0.120748582500904,0.600949447918687,0.306838091194883,0.228262054165671,0.692556102463976,0.453125985971047,3.519289955,2.681651031,7,0.979625,1.2646,1.16546666666667,203.403956034376,0.464294048298305,-34.5719452389611,22.5347936106279,0.480200865417783,-0.294111356723804,10.8350757142857,15.63985,16.624696,364.013824285714,399.525505,368.642328
2013,"Peter","R",237,NA,NA,"2013-08-25","2013-08-29","2013-09-01",8,3.0859,4.2473,0.8036,24.6872,1.6843,2.8419,0.7977,13.4741,24.6592,25.7684,0.7844,197.2739,0.653,0.6923,22.098,2.94784,0.600949447918687,NA,68.0625,2.375,176.259854167551,199.811798185944,150.850971447459,1.0674475428608,1.69722246463593,NA,1.55926934517776,2.1654729382554,NA,5.805906333,2.688257923,6,1.2328,1.3068,NA,38.8774136394335,0.606203593077644,NA,5.6626874808693,0.62977492177513,NA,19.9933471428571,NA,15.0486176433333,494.655072857143,NA,480.607315122222
2014,"Peter","R",146,747.216408450103,259.499457727736,"2014-05-26","2014-05-31","2014-06-02",8,3.4264,4.335,0.7515,27.4113,1.1454,1.9885,0.6901,9.1634,21.5178,22.7979,1.1814,172.1428,0.4079,0.5175,26.67,1.91149,0.0306700690286304,0.0306700690286304,0,0,51.4744598026338,106.76469387176,117.208180625849,0,0,0.016341883297363,0.0311626311050356,0.0325782204125313,0.206155175516343,NA,2.50817704430986,7,NA,NA,0.939411532801586,4.54258596690509,0.00141558930749575,532.800603918329,NA,0,0.016341883297363,16,14.5,10.875,289,301.5,281.75
2015,"Peter","R",226,-13.2851637698498,14.2099286369077,"2015-08-14","2015-08-16","2015-08-18",5,2.1086,2.7636,0.5142,10.5431,0.7457,1.4046,0.5149,3.7283,24.9348,25.593,0.5459,124.6738,0.6478,0.6629,40.386,1.42786,0.0126036314855998,NA,87,0,183.362189313919,216.318473217243,165.735983531753,0.115475591052296,0.0734038074809697,0.750903235743179,0.603303917449446,0.441778379561927,1.41686064116892,4.17955247994999,3.50757181790073,4,0.842333333333333,0.7706,0.946866666666667,-26.7734939581349,-0.161525537887519,220.717515097478,-9.30876373388698,-0.0420717835713263,0.677499428262209,10,2,9,402.5,339.5,333.5
