"datetime"	"wtr_0.5"	"wtr_1.0"	"wtr_2.0"	"wtr_3.0"	"wtr_3.5"	"wtr_4.0"	"wtr_4.5"	"wtr_5.0"	"wtr_6.0"
"2023-05-30 17:00:00"	24.351	24.11	21.091	14.565	11.1875	8.6305	7.3805	6.37	4.934
"2023-05-30 18:00:00"	24.5445	24.3995	21.1865	14.613	11.2845	8.531	7.1795	6.217	4.8825
"2023-05-30 19:00:00"	23.966	24.11	20.996	14.469	11.09	8.4315	7.129	6.166	4.8825
"2023-05-30 20:00:00"	23.244	23.5325	20.996	14.565	11.09	8.531	7.2295	6.268	4.934
"2023-05-30 21:00:00"	22.7165	23.196	20.996	14.565	11.285	8.68	7.2295	6.319	4.8825
"2023-05-30 22:00:00"	22.2855	22.8125	20.996	14.3735	11.285	8.7295	7.1795	6.166	4.831
"2023-05-30 23:00:00"	21.9505	22.573	20.996	14.517	11.2365	8.531	7.179	6.166	4.831
"2023-05-31 00:00:00"	21.712	22.3335	20.996	14.7085	11.0415	8.4815	7.2295	6.268	4.8825
"2023-05-31 01:00:00"	21.521	22.094	20.996	14.565	11.236	8.581	7.2295	6.268	4.8825
"2023-05-31 02:00:00"	21.33	21.855	20.9485	14.613	11.09	8.68	7.28	6.166	4.831
"2023-05-31 03:00:00"	21.33	21.76	20.996	14.613	11.1875	8.531	7.179	6.268	4.8825
"2023-05-31 04:00:00"	21.0915	21.6165	20.996	14.517	11.285	8.581	7.2295	6.217	4.8825
"2023-05-31 05:00:00"	20.9485	21.473	20.901	14.469	11.2365	8.581	7.28	6.217	4.831
"2023-05-31 06:00:00"	20.996	21.378	20.901	14.565	11.1385	8.6305	7.2295	6.217	4.934
"2023-05-31 07:00:00"	21.712	21.521	20.901	14.7085	11.1875	8.6305	7.28	6.268	4.831
"2023-05-31 08:00:00"	22.6685	21.8555	21.0435	14.804	11.285	8.6305	7.28	6.268	4.831
"2023-05-31 09:00:00"	23.485	22.429	21.139	14.996	11.3825	8.6305	7.3305	6.268	4.8825
"2023-05-31 10:00:00"	23.821	22.6205	21.2825	14.948	11.431	8.6305	7.28	6.37	4.934
"2023-05-31 11:00:00"	24.448	23.4845	21.4735	15.0435	11.528	8.829	7.3805	6.37	4.934
"2023-05-31 12:00:00"	24.738	23.725	21.4255	15.2345	11.431	8.7795	7.431	6.4205	4.9855
"2023-05-31 13:00:00"	25.416	23.9175	21.8075	14.8045	11.528	8.68	7.2295	6.268	4.831
"2023-05-31 14:00:00"	25.6105	24.5445	21.6165	14.948	11.3825	8.7295	7.6315	6.522	4.9855
"2023-05-31 15:00:00"	26.0485	24.7865	21.9985	14.6605	11.5765	8.7795	7.33	6.4205	4.9855
"2023-05-31 16:00:00"	26.146	25.319	21.8075	14.613	11.4795	8.7795	7.3805	6.37	4.8825
"2023-05-31 17:00:00"	26.6835	25.5615	21.7595	15.0915	11.187	8.7295	7.5315	6.4715	5.037
"2023-05-31 18:00:00"	25.9025	25.7565	21.8075	14.7565	11.528	8.829	7.381	6.115	4.831
"2023-05-31 19:00:00"	25.319	25.416	21.903	14.996	11.3335	8.7295	7.431	6.4205	4.934
"2023-05-31 20:00:00"	24.8345	25.0765	21.8075	15.0915	11.431	8.68	7.431	6.3695	5.037
"2023-05-31 21:00:00"	24.448	24.7865	21.8075	14.996	11.528	8.879	7.3305	6.319	4.8825
"2023-05-31 22:00:00"	24.062	24.4965	21.903	14.948	11.4795	8.8785	7.5315	6.37	4.934
"2023-05-31 23:00:00"	23.821	24.2065	21.855	15.0435	11.431	8.68	7.431	6.37	4.9855
"2023-06-01 00:00:00"	23.5325	23.9175	21.855	14.948	11.528	8.879	7.381	6.37	4.934
"2023-06-01 01:00:00"	23.292	23.725	21.855	15.0435	11.625	8.7795	7.431	6.37	4.8825
"2023-06-01 02:00:00"	23.004	23.4845	21.8075	15.091	11.431	8.829	7.4815	6.4205	4.9855
"2023-06-01 03:00:00"	22.86	23.34	21.855	14.9	11.528	8.829	7.431	6.37	4.934
"2023-06-01 04:00:00"	22.669	23.148	21.8075	15.0435	11.528	8.829	7.431	6.319	4.934
"2023-06-01 05:00:00"	22.525	22.956	21.76	14.996	11.528	8.829	7.481	6.37	4.9855
"2023-06-01 06:00:00"	22.477	22.86	21.855	15.0435	11.528	8.829	7.431	6.319	4.8825
"2023-06-01 07:00:00"	23.196	23.004	21.855	15.0435	11.528	8.879	7.431	6.37	4.934
"2023-06-01 08:00:00"	23.9175	23.292	22.046	15.2345	11.6735	8.829	7.431	6.4205	4.9855
"2023-06-01 09:00:00"	24.545	NA	22.238	NA	NA	NA	NA	6.471	4.934
"2023-06-01 10:00:00"	24.448	23.244	19.9005	11.916	9.571	7.582	6.6235	5.8085	4.675
"2023-06-01 11:00:00"	25.0765	23.6285	20.091	11.9645	9.5215	7.632	6.7245	5.86	4.727
"2023-06-01 12:00:00"	25.222	23.821	19.853	11.916	9.5215	7.5315	6.6235	5.8085	4.727
"2023-06-01 13:00:00"	26.2925	23.8695	20.186	12.0615	9.62	7.682	6.7245	5.911	4.727
"2023-06-01 14:00:00"	26.341	24.1105	20.0435	12.1585	9.5705	7.5815	6.6235	5.86	4.727
"2023-06-01 15:00:00"	26.636	24.158	19.9955	11.8675	9.5705	7.682	6.7755	5.962	4.779
"2023-06-01 16:00:00"	26.3905	24.593	19.805	11.916	9.571	7.682	6.725	5.7575	4.727
"2023-06-01 17:00:00"	26.244	23.8695	20.138	11.6735	9.521	7.5815	6.5725	5.962	4.727
"2023-06-01 18:00:00"	25.5615	23.773	18.6635	11.4795	9.225	7.431	6.6235	5.757	4.727
"2023-06-01 19:00:00"	25.659	24.014	19.8525	11.916	9.5215	7.632	6.826	5.911	4.779
"2023-06-01 20:00:00"	25.3675	24.1585	20.1385	12.0615	9.817	7.5815	6.522	5.8085	4.675
"2023-06-01 21:00:00"	25.028	24.351	19.9005	12.013	9.5215	7.632	6.7245	5.962	4.831
"2023-06-01 22:00:00"	24.593	24.545	20.0435	11.819	9.3735	7.682	6.674	6.013	4.779
"2023-06-01 23:00:00"	24.3995	24.2545	20.0905	11.916	9.6695	7.682	6.674	5.7575	4.727
"2023-06-02 00:00:00"	24.303	24.2065	19.9955	12.11	9.7185	7.5315	6.6235	5.8085	4.727
"2023-06-02 01:00:00"	24.062	24.014	19.948	12.0615	9.324	7.632	6.7245	5.962	4.779
"2023-06-02 02:00:00"	23.9175	23.869	20.138	12.11	9.768	7.632	6.6235	5.8595	4.727
"2023-06-02 03:00:00"	23.773	23.725	20.0905	12.1585	9.62	7.732	6.6235	5.8085	4.675
"2023-06-02 04:00:00"	23.629	23.629	20.043	12.11	9.4225	7.5315	6.674	5.911	4.779
"2023-06-02 05:00:00"	23.5325	23.5325	20.043	12.1585	9.6695	7.632	6.6235	5.911	4.779
"2023-06-02 06:00:00"	23.436	23.436	20.043	12.013	9.669	7.582	6.674	5.962	4.727
"2023-06-02 07:00:00"	23.484	23.388	19.9955	12.013	9.5215	7.682	6.674	5.911	4.727
"2023-06-02 08:00:00"	23.484	23.436	20.043	12.1585	9.5705	7.632	6.7245	5.8085	4.727
"2023-06-02 09:00:00"	23.484	23.388	20.186	12.1585	9.768	7.632	6.674	5.86	4.727
"2023-06-02 10:00:00"	23.34	23.34	20.0905	12.1585	9.62	7.632	6.6235	5.911	4.779
"2023-06-02 11:00:00"	23.196	23.244	20.0905	12.11	9.5215	7.5815	6.7245	5.911	4.727
"2023-06-02 12:00:00"	23.196	23.196	20.138	12.11	9.7185	7.732	6.674	5.911	4.727
"2023-06-02 13:00:00"	23.725	23.436	20.3765	12.4005	9.7185	7.682	6.674	5.911	4.779
"2023-06-02 14:00:00"	24.3035	23.725	20.329	12.3525	9.6695	7.732	6.826	5.962	4.779
"2023-06-02 15:00:00"	24.835	24.1105	20.329	12.4975	9.817	7.782	6.775	5.962	4.779
"2023-06-02 16:00:00"	25.2705	24.3995	20.3765	12.401	9.7675	7.782	6.775	5.911	4.727
"2023-06-02 17:00:00"	26.0975	24.3515	20.5195	12.3525	9.7185	7.682	6.7245	6.064	4.831
"2023-06-02 18:00:00"	26.2925	24.3515	20.567	12.497	9.965	7.832	6.826	5.962	4.727
"2023-06-02 19:00:00"	25.6105	24.303	20.567	12.3035	9.6695	7.782	6.7245	5.911	4.727
"2023-06-02 20:00:00"	25.2705	24.11	20.234	12.2555	9.7185	7.732	6.826	6.013	4.779
"2023-06-02 21:00:00"	25.028	24.11	20.424	12.449	9.8665	7.782	6.6235	5.911	4.779
"2023-06-02 22:00:00"	24.6895	24.158	20.5195	12.4975	9.7185	7.682	6.7755	5.962	4.779
"2023-06-02 23:00:00"	24.3995	24.2065	20.2815	12.11	9.768	7.882	6.826	6.013	4.779
"2023-06-03 00:00:00"	24.2065	24.11	20.424	12.401	9.817	7.732	6.674	5.86	4.727
"2023-06-03 01:00:00"	24.014	23.9175	20.4715	12.304	9.866	7.682	6.7755	5.86	4.727
"2023-06-03 02:00:00"	23.773	23.725	20.3765	12.304	9.62	7.782	6.775	6.064	4.8825
"2023-06-03 03:00:00"	23.629	23.581	20.3765	12.2555	9.866	7.732	6.7245	5.86	4.675
"2023-06-03 04:00:00"	23.436	23.436	20.3765	12.304	9.9155	7.782	6.674	5.86	4.727
"2023-06-03 05:00:00"	23.34	23.34	20.3765	12.449	9.571	7.732	6.826	6.013	4.779
"2023-06-03 06:00:00"	23.244	23.196	20.424	12.304	9.817	7.782	6.775	5.962	4.831
"2023-06-03 07:00:00"	23.4845	23.34	20.519	12.3525	9.9155	7.782	6.775	5.911	4.727
"2023-06-03 08:00:00"	23.8695	23.436	20.519	12.4005	9.817	7.832	6.826	5.962	4.779
"2023-06-03 09:00:00"	24.303	23.5805	20.519	12.497	9.768	7.782	6.877	6.013	4.779
"2023-06-03 10:00:00"	25.077	23.9175	20.6625	12.497	10.014	7.9325	6.826	6.013	4.779
"2023-06-03 11:00:00"	25.562	24.11	20.758	12.5455	9.9155	7.832	6.877	5.962	4.831
"2023-06-03 12:00:00"	25.805	24.2545	20.329	12.69	9.9645	7.8325	6.8765	5.962	4.831
"2023-06-03 13:00:00"	25.9025	24.4	19.9005	12.206	9.669	7.732	6.725	6.166	4.8825
"2023-06-03 14:00:00"	26	24.593	19.948	12.4975	9.9645	7.832	6.826	6.064	4.831
"2023-06-03 15:00:00"	27.1245	24.738	20.2335	12.7865	9.9145	7.732	6.674	5.962	4.727
"2023-06-03 16:00:00"	26.928	24.593	19.948	11.9645	9.6695	7.982	7.0785	6.115	4.8305
"2023-06-03 17:00:00"	27.075	24.786	20.043	12.5935	9.817	7.782	6.674	5.911	4.727
"2023-06-03 18:00:00"	27.075	24.8345	20.424	12.2555	9.8665	7.982	6.8765	6.013	4.727
"2023-06-03 19:00:00"	26.683	24.9315	20.329	12.497	9.7185	7.682	6.927	6.064	4.831
"2023-06-03 20:00:00"	26.341	25.028	20.8055	12.594	9.9155	7.882	6.9275	6.013	4.831
"2023-06-03 21:00:00"	26.0975	25.222	20.8055	12.835	10.0135	7.8825	6.9275	6.013	4.8305
"2023-06-03 22:00:00"	25.7075	25.319	20.8055	12.4975	9.965	8.0325	6.9275	6.166	4.8825
"2023-06-03 23:00:00"	25.416	25.3675	20.901	12.883	10.063	7.732	6.7755	6.013	4.831
"2023-06-04 00:00:00"	25.125	25.028	20.9005	12.5455	9.9155	7.982	6.978	6.115	4.831
"2023-06-04 01:00:00"	24.8345	24.7865	20.9485	12.642	10.112	7.982	6.8765	6.064	4.779
"2023-06-04 02:00:00"	24.593	24.593	20.9485	12.5935	10.014	7.9325	6.8765	6.013	4.779
"2023-06-04 03:00:00"	24.3995	24.303	20.805	12.69	10.014	7.9325	6.9275	6.064	4.8305
"2023-06-04 04:00:00"	24.11	24.11	20.853	12.787	9.965	7.9325	6.9275	6.064	4.831
"2023-06-04 05:00:00"	23.966	23.9175	20.901	12.642	10.112	7.9325	6.9275	6.013	4.831
"2023-06-04 06:00:00"	23.869	23.821	20.901	12.6905	10.014	8.0325	6.877	6.115	4.831
"2023-06-04 07:00:00"	24.014	23.869	21.0435	12.883	10.063	7.983	6.978	6.064	4.831
"2023-06-04 08:00:00"	24.3515	23.966	21.139	12.7865	10.161	8.0325	6.9275	6.064	4.779
"2023-06-04 09:00:00"	24.786	24.11	21.187	12.835	10.161	7.983	6.9275	6.064	4.831
"2023-06-04 10:00:00"	25.3675	24.3515	21.139	12.9315	10.161	8.132	7.079	6.115	4.831
"2023-06-04 11:00:00"	25.708	24.6895	21.33	12.9315	10.161	7.982	6.9275	6.166	4.831
"2023-06-04 12:00:00"	26.146	24.883	21.6645	13.0765	10.21	8.1325	6.978	6.166	4.831
"2023-06-04 13:00:00"	26.5365	25.125	20.8055	12.9795	10.161	8.0825	7.0285	6.166	4.8825
"2023-06-04 14:00:00"	27.321	25.416	21.1865	12.9795	10.357	8.332	7.1795	6.3185	4.934
"2023-06-04 15:00:00"	28.3575	25.659	21.8075	13.4135	10.406	8.0825	6.8765	6.064	4.779
"2023-06-04 16:00:00"	28.8535	26.146	21.9505	13.221	10.357	8.182	7.28	6.369	4.9855
"2023-06-04 17:00:00"	29.003	25.9995	21.712	13.269	10.6015	8.332	7.129	6.166	4.8825
"2023-06-04 18:00:00"	28.8035	25.805	21.712	13.2205	10.406	8.182	6.978	6.013	4.727
"2023-06-04 19:00:00"	28.2085	25.9025	21.8075	13.1725	10.259	8.132	7.1795	6.319	4.9855
"2023-06-04 20:00:00"	27.5175	25.951	21.712	13.1245	10.455	8.232	7.079	6.217	4.8825
"2023-06-04 21:00:00"	26.977	25.7075	21.521	13.076	10.308	8.182	7.0285	6.115	4.779
"2023-06-04 22:00:00"	26.5855	25.708	21.4255	12.9315	10.308	8.232	7.129	6.217	4.934
"2023-06-04 23:00:00"	26.341	26	21.664	13.0765	10.406	8.132	7.0285	6.166	4.8825
"2023-06-05 00:00:00"	26.0485	25.951	21.712	13.1245	10.504	8.182	7.0285	6.217	4.8825
"2023-06-05 01:00:00"	25.7565	25.7565	21.76	13.173	10.357	8.232	7.129	6.217	4.831
"2023-06-05 02:00:00"	25.5615	25.5615	21.8075	13.269	10.308	8.132	7.129	6.217	4.934
"2023-06-05 03:00:00"	25.319	25.2705	21.8075	13.1245	10.504	8.232	7.129	6.217	4.831
"2023-06-05 04:00:00"	25.0765	25.0765	21.664	13.221	10.357	8.132	7.079	6.115	4.8825
"2023-06-05 05:00:00"	24.931	24.931	21.8075	13.221	10.406	8.182	7.079	6.268	4.934
"2023-06-05 06:00:00"	24.835	24.7865	21.8075	13.269	10.357	8.232	7.129	6.217	4.831
