"datetime"	"wtr_0.5"	"wtr_1.0"	"wtr_2.0"	"wtr_3.0"	"wtr_3.5"	"wtr_4.0"	"wtr_5.0"	"wtr_6.0"
"2023-06-13 15:00:00"	18.188	18.045	17.57	10.7975	8.779	7.129	5.706	4.623
"2023-06-13 16:00:00"	18.0925	18.045	17.522	10.895	8.779	7.2295	5.706	4.623
"2023-06-13 17:00:00"	18.2835	18.188	17.57	10.9925	8.7795	7.079	5.706	4.623
"2023-06-13 18:00:00"	18.2835	18.14	17.5225	10.6995	8.779	7.2295	5.6545	4.623
"2023-06-13 19:00:00"	18.236	18.0925	17.57	10.846	8.779	7.179	5.706	4.675
"2023-06-13 20:00:00"	18.188	18.045	17.57	10.944	8.779	7.0785	5.706	4.623
"2023-06-13 21:00:00"	18.14	18.045	17.6175	10.797	8.779	7.179	5.757	4.623
"2023-06-13 22:00:00"	18.0925	18.045	17.57	10.846	8.779	7.129	5.757	4.623
"2023-06-13 23:00:00"	18.045	18.045	17.475	10.748	8.779	7.1795	5.6545	4.623
"2023-06-14 00:00:00"	17.95	17.95	17.475	10.895	8.779	7.079	5.706	4.675
"2023-06-14 01:00:00"	17.9025	17.9025	17.475	10.797	8.7295	7.179	5.757	4.623
"2023-06-14 02:00:00"	17.855	17.855	17.475	10.748	8.779	7.2295	5.706	4.571
"2023-06-14 03:00:00"	17.76	17.76	17.57	10.846	8.829	7.179	5.706	4.623
"2023-06-14 04:00:00"	17.7125	17.7125	17.5225	10.846	8.779	7.129	5.706	4.623
"2023-06-14 05:00:00"	17.665	17.665	17.475	10.846	8.7295	7.079	5.757	4.675
"2023-06-14 06:00:00"	17.665	17.665	17.379	10.895	8.7295	7.179	5.757	4.623
"2023-06-14 07:00:00"	17.7125	17.665	17.284	10.797	8.829	7.179	5.655	4.623
"2023-06-14 08:00:00"	17.95	17.76	17.284	10.846	8.779	7.179	5.655	4.623
"2023-06-14 09:00:00"	17.9975	17.8075	17.379	10.944	8.779	7.129	5.757	4.623
"2023-06-14 10:00:00"	18.2835	17.9975	17.475	10.9925	8.879	7.129	5.757	4.623
"2023-06-14 11:00:00"	18.3785	17.9975	17.3795	10.9435	8.829	7.2295	5.757	4.623
"2023-06-14 12:00:00"	18.426	17.9975	17.475	10.846	8.829	7.2295	5.706	4.623
"2023-06-14 13:00:00"	18.4735	17.9975	17.475	10.9925	8.829	7.179	5.655	4.623
"2023-06-14 14:00:00"	18.711	18.045	17.475	10.9925	8.7295	7.129	5.757	4.675
"2023-06-14 15:00:00"	19.092	18.0925	17.5225	11.0415	8.779	7.1795	5.86	4.727
"2023-06-14 16:00:00"	19.092	18.14	17.475	10.797	8.978	7.28	5.86	4.675
"2023-06-14 17:00:00"	18.901	18.14	17.475	10.9925	8.978	7.1795	5.706	4.571
"2023-06-14 18:00:00"	18.996	18.188	17.5225	11.0415	8.68	7.079	5.757	4.623
"2023-06-14 19:00:00"	18.9485	18.14	17.427	10.9435	8.7795	7.2295	5.8085	4.675
"2023-06-14 20:00:00"	18.8535	18.188	17.5225	10.944	8.8785	7.3305	5.757	4.727
"2023-06-14 21:00:00"	18.901	18.14	17.3795	11.09	8.9285	7.2295	5.552	4.519
"2023-06-14 22:00:00"	18.6635	18.2835	17.427	10.895	8.7795	7.1795	5.706	4.675
"2023-06-14 23:00:00"	18.4735	18.188	17.427	10.992	8.8785	7.129	5.8595	4.727
"2023-06-15 00:00:00"	18.331	18.14	17.5225	10.895	8.829	7.28	5.706	4.519
"2023-06-15 01:00:00"	18.0925	18.045	17.427	10.895	8.9285	7.1795	5.655	4.623
"2023-06-15 02:00:00"	17.95	17.9025	17.475	10.895	8.68	7.28	5.8085	4.675
"2023-06-15 03:00:00"	17.76	17.76	17.57	11.041	8.9285	7.129	5.8085	4.623
