"t","temp"
"2005-06-02",22.199
"2005-06-04",22.167
"2005-06-05",22.43
"2005-06-06",22.228
"2005-06-07",22.864
"2005-06-08",22.756
"2005-06-09",23.656
"2005-06-10",23.94
"2005-06-11",24.435
"2005-06-15",21.861
"2005-06-16",21.92
"2005-06-18",23.264
"2005-06-19",24.648
"2005-06-20",24.838
"2005-06-21",25.64
"2005-06-22",25.822
"2005-06-23",26.382
"2005-06-24",25.518
"2005-06-25",25.957
"2005-06-26",24.83
"2005-06-27",25.85
"2005-06-29",24.995
"2005-06-30",24.001
"2005-07-01",22.416
"2005-07-02",23.152
"2005-07-03",22.707
"2005-07-04",24.128
"2005-07-07",24.557
"2005-07-08",25.488
"2005-07-10",27.487
"2005-07-11",27.868
"2005-07-12",28.701
"2005-07-16",29.334
"2005-07-17",29.306
"2005-07-19",26.383
"2005-07-20",26.165
"2005-07-22",26.644
"2005-07-23",24.769
"2005-07-24",25.301
"2005-07-25",25.471
"2005-07-26",23.494
"2005-07-27",23.836
"2005-07-29",23.43
"2005-07-31",25.768
"2005-08-01",27.388
"2005-08-02",27.878
"2005-08-03",27.941
"2005-08-04",26.559
"2005-08-05",25.767
"2005-08-06",25.256
"2005-08-08",26.627
"2005-08-09",25.059
"2005-08-10",25.342
"2005-08-11",23.678
"2005-08-12",23.867
"2005-08-13",23.725
"2005-08-15",23.543
"2005-08-16",23.754
"2005-08-17",22.635
"2005-08-20",22.994
"2005-08-22",21.059
"2005-08-23",21.654
"2005-08-24",20.58
"2005-08-25",20.756
"2005-08-26",20.395
"2005-08-27",21.676
"2005-08-29",21.109
"2005-08-31",22.139
"2005-09-02",20.377
"2005-09-03",21.185
"2005-09-04",21.563
"2005-09-06",22.655
"2005-09-09",20.723
"2005-09-10",22.435
"2005-09-11",23.141
"2005-09-12",23.032
"2005-09-13",22.694
"2006-07-09",24.519
"2006-07-10",24.568
"2006-07-11",25.243
"2006-07-12",26.921
"2006-07-14",27.807
"2006-07-15",27.8
"2006-07-16",27.933
"2006-07-17",27.801
"2006-07-19",25.176
"2006-07-20",26.215
"2006-07-21",24.903
"2006-07-22",25.047
"2006-07-23",23.779
"2006-07-24",25.548
"2006-07-26",26.373
"2006-07-27",26.718
"2006-07-28",27.787
"2006-07-29",27.744
"2006-07-31",28.805
"2006-08-01",26.237
"2006-08-02",25.03
"2006-08-03",25.745
"2006-08-05",24.887
"2006-08-06",24.256
"2006-08-08",24.479
"2006-08-09",24.202
"2006-08-11",23.827
"2006-08-15",23.319
"2006-08-16",23.97
"2006-08-17",23.189
"2006-08-19",22.7
"2006-08-21",23.158
"2006-08-22",22.921
"2006-08-23",22.824
"2006-08-24",21.653
"2006-08-26",20.817
"2006-08-28",20.582
"2006-08-29",20.346
"2006-08-30",21.761
"2006-08-31",21.177
"2006-09-01",21.626
"2006-09-02",21.303
"2006-09-03",21.614
"2006-09-04",21.725
"2006-09-07",21.466
"2006-09-08",19.317
"2006-09-09",18.676
"2006-09-10",18.056
"2006-09-11",16.596
"2006-09-12",15.99
"2006-09-13",17.823
"2006-09-14",18.146
"2006-09-15",18.537
"2007-06-08",19.3
"2007-06-09",20.26
"2007-06-10",22.74
"2007-06-11",25.1
"2007-06-12",24.59
"2007-06-13",26.56
"2007-06-14",26.66
"2007-06-15",26.52
"2007-06-16",26.13
"2007-06-17",24.54
"2007-06-18",24.34
"2007-06-19",21.97
"2007-06-20",21.99
"2007-06-21",23.23
"2007-06-22",23.77
"2007-06-23",24.4
"2007-06-24",25.89
"2007-06-25",26.57
"2007-06-26",27.27
"2007-06-27",26.06
"2007-06-28",24.56
"2007-06-29",24.6
"2007-06-30",24.6
"2007-07-01",24.44
"2007-07-02",22.38
"2007-07-03",23.989
"2007-07-05",24.831
"2007-07-07",26.166
"2007-07-08",26.655
"2007-07-09",26.768
"2007-07-11",22.766
"2007-07-31",29.6
"2007-08-01",27.637
"2007-08-03",26.268
"2007-08-04",25.817
"2007-08-05",23.999
"2007-08-06",24.687
"2007-08-09",25.653
"2007-08-10",26.547
"2007-08-11",25.646
"2007-08-12",25.709
"2007-08-13",24.825
"2007-08-14",24.203
"2007-08-16",23.823
"2007-08-17",22.663
"2007-08-23",21.904
"2007-08-25",21.074
"2007-08-26",21.304
"2007-08-27",21.301
"2007-08-29",22.181
"2007-09-02",22.047
"2007-09-04",23.125
"2007-09-05",23.97
"2007-09-07",22.688
"2007-09-08",21.653
"2007-09-09",20.273
"2007-09-13",15.396
"2007-09-14",14.186
"2008-06-01",17.335
"2008-06-02",17.478
"2008-06-04",16.804
