"sampledate","depth","wtemp","flag_wtemp"
2005-05-28,0,17.561,""
2005-05-28,0.25,16.772,""
2005-05-28,0.5,17.46,""
2005-05-28,0.75,16.553,""
2005-05-28,1,15.934,""
2005-05-28,1.25,14.059,""
2005-05-28,1.5,12.223,""
2005-05-28,1.75,10.717,""
2005-05-28,2.25,8.707,""
2005-05-29,0.25,18.396,""
2005-05-29,0.5,18.615,""
2005-05-29,0.75,16.964,""
2005-05-29,1,16.144,""
2005-05-29,1.25,14.446,""
2005-05-29,1.5,12.647,""
2005-05-29,1.75,11.037,""
2005-05-29,2.25,8.869,""
2005-05-30,0,19.524,""
2005-05-30,0.25,18.859,""
2005-05-30,0.5,19.235,""
2005-05-30,0.75,17.982,""
2005-05-30,1,16.749,""
2005-05-30,1.25,14.84,""
2005-05-30,1.5,13.087,""
2005-05-30,1.75,11.387,""
2005-05-30,2,9.943,""
2005-05-30,2.25,9.027,""
2005-05-31,0,20.624,""
2005-05-31,0.25,20.097,""
2005-05-31,0.5,19.96,""
2005-05-31,0.75,18.341,""
2005-05-31,1,17.309,""
2005-05-31,1.25,15.307,""
2005-05-31,1.5,13.553,""
2005-05-31,1.75,11.797,""
2005-05-31,2.25,9.291,""
2005-06-01,0,20.926,""
2005-06-01,0.25,20.46,""
2005-06-01,0.5,20.834,""
2005-06-01,0.75,19.643,""
2005-06-01,1,18.01,""
2005-06-01,1.25,15.848,""
2005-06-01,1.5,14.038,""
2005-06-01,1.75,12.221,""
2005-06-01,2,10.657,""
2005-06-01,2.25,9.55,""
2005-06-02,0,22.199,""
2005-06-02,0.25,21.813,""
2005-06-02,0.5,22.105,""
2005-06-02,0.75,20.773,""
2005-06-02,1,18.696,""
2005-06-02,1.25,16.227,""
2005-06-02,1.5,14.336,""
2005-06-02,1.75,12.445,""
2005-06-02,2.25,9.656,""
2005-06-03,0.25,22.382,""
2005-06-03,0.5,22.716,""
2005-06-03,0.75,21.46,""
2005-06-03,1,19.473,""
2005-06-03,1.25,16.708,""
2005-06-03,1.5,14.704,""
2005-06-03,1.75,12.741,""
