"","year4","sampling_depths","lake"
"1",1989,"0.01, 0.5, 1","Sparkling Lake"
"2",1990,"0.01, 0.5, 1","Sparkling Lake"
"3",1991,"0.01, 0.5, 1","Sparkling Lake"
"4",1992,"0.01, 0.5, 1","Sparkling Lake"
"5",1993,"0.01, 0.5, 1","Sparkling Lake"
"6",1994,"0.01, 0.5, 1","Sparkling Lake"
"7",1995,"0.01, 1","Sparkling Lake"
"8",1996,"0.01, 1","Sparkling Lake"
"9",1997,"0.01, 1","Sparkling Lake"
"10",1998,"0.01, 1","Sparkling Lake"
"11",1999,"0.01, 1","Sparkling Lake"
"12",2000,"0.01, 1","Sparkling Lake"
"13",2001,"0.01, 1","Sparkling Lake"
"14",2002,"0.01, 1","Sparkling Lake"
"15",2003,"0.01, 1","Sparkling Lake"
"16",2004,"0.01, 1","Sparkling Lake"
"17",2005,"0.01, 1","Sparkling Lake"
"18",2006,"0.01, 0.5, 1, 1.5","Sparkling Lake"
"19",2007,"0.01, 0.5, 1, 1.5","Sparkling Lake"
"20",2008,"0.01, 0.5, 1, 1.5","Sparkling Lake"
"21",2009,"0.01, 0.5, 1, 1.5","Sparkling Lake"
"22",2010,"0.01, 0.5, 1, 1.5","Sparkling Lake"
"23",2011,"0, 0.5, 1, 1.5","Sparkling Lake"
"24",2012,"0, 0.5, 1, 1.5","Sparkling Lake"
"25",2013,"0.25, 0.5, 0.75, 1, 1.5","Sparkling Lake"
"26",2014,"0, 0.25, 0.5, 0.75, 1, 1.5","Sparkling Lake"
"27",2015,"0, 0.25, 0.5, 0.75, 1, 1.25, 1.5","Sparkling Lake"
"28",2016,"0, 0.25, 0.5, 0.75, 1, 1.25, 1.5","Sparkling Lake"
"29",2018,"0, 0.25, 0.5, 0.75, 1, 1.25, 1.5","Sparkling Lake"
"30",2019,"0, 0.25, 0.5, 0.75, 1, 1.25, 1.5","Sparkling Lake"
"31",2020,"0, 0.25, 0.5, 0.75, 1, 1.25, 1.5","Sparkling Lake"
"32",2021,"0, 0.25, 0.5, 0.75, 1, 1.25, 1.5","Sparkling Lake"
"33",2022,"0, 0.25, 0.5, 0.75, 1, 1.25, 1.5","Sparkling Lake"
