"t","temp"
"1989-06-02",16.28
"1989-06-03",16.48
"1989-06-04",16.55
"1989-06-05",16.33
"1989-06-06",17.72
"1989-06-07",17.36
"1989-06-08",16.74
"1989-06-09",16.01
"1989-06-10",16.87
"1989-06-11",17.17
"1989-06-12",16.48
"1989-06-13",16.24
"1989-06-14",15.64
"1989-06-15",15.17
"1989-06-16",15.54
"1989-06-17",16.51
"1989-06-18",17.24
"1989-06-19",18.85
"1989-06-20",18.34
"1989-06-21",19
"1989-06-22",19.71
"1989-06-23",20.33
"1989-06-24",21.59
"1989-06-25",20.68
"1989-06-26",20.52
"1989-06-27",20.8
"1989-06-28",20.62
"1989-06-29",20.5
"1989-06-30",20.33
"1989-07-01",20.75
"1989-07-02",21.87
"1989-07-03",22.62
"1989-07-04",23.21
"1989-07-05",23.88
"1989-07-06",23.77
"1989-07-07",23.89
"1989-07-08",23.7
"1989-07-09",23.87
"1989-07-10",24.42
"1989-07-11",24.07
"1989-07-12",23.67
"1989-07-13",23.16
"1989-07-14",23.08
"1989-07-15",23.39
"1989-07-16",23.31
"1989-07-17",23.48
"1989-07-18",22.99
"1989-07-19",22.76
"1989-07-20",23.24
"1989-07-21",23.9
"1989-07-22",24.14
"1989-07-23",24.18
"1989-07-24",24.42
"1989-07-25",24.94
"1989-07-26",25.32
"1989-07-27",25.17
"1989-07-28",24.57
"1989-07-29",23.74
"1989-07-30",22.8
"1989-07-31",22.89
"1989-08-01",23.13
"1989-08-02",23.4
"1989-08-03",23.61
"1989-08-04",24.28
"1989-08-05",24.08
"1989-08-06",22.81
"1989-08-07",22.08
"1989-08-08",21.89
"1989-08-09",22.22
"1989-08-10",22.28
"1989-08-11",22.39
"1989-08-12",22.24
"1989-08-13",22.02
"1989-08-14",21.7
"1989-08-15",21.11
"1989-08-16",21.19
"1989-08-17",21.41
"1989-08-18",20.98
"1989-08-19",20.77
"1989-08-20",20.84
"1989-08-21",21.08
"1989-08-22",21.11
"1989-08-23",21.26
"1989-08-24",21.15
"1989-08-25",20.94
"1989-08-26",20.9
"1989-08-27",21.25
"1989-08-28",21.15
"1989-08-29",21.21
"1989-08-30",21.06
"1989-08-31",20.66
"1989-09-01",20.44
"1989-09-02",20.56
"1989-09-03",20.29
"1989-09-04",19.73
"1989-09-05",19.83
"1989-09-06",20
"1989-09-07",20.37
"1989-09-08",20.52
"1989-09-09",20.15
"1989-09-10",19.75
"1989-09-11",19.47
"1989-09-12",18.73
"1989-09-13",18.53
"1989-09-14",18.33
"1989-09-15",18.2
"1990-06-02",16.5
"1990-06-03",15.49
"1990-06-04",15.17
"1990-06-05",14.63
"1990-06-06",14.65
"1990-06-07",15.29
"1990-06-08",15.59
"1990-06-09",15.65
"1990-06-10",17.1
"1990-06-11",16.19
"1990-06-12",16.23
"1990-06-13",17.17
"1990-06-14",18.34
"1990-06-15",19.04
"1990-06-16",18.45
"1990-06-17",18.53
"1990-06-18",18.29
"1990-06-19",18.06
"1990-06-20",18.16
"1990-06-21",18.42
"1990-06-22",18.27
"1990-06-23",17.92
"1990-06-24",19.06
