"t","temp"
"2004-06-01",11.24
"2004-06-02",11.51
"2004-06-03",12.83
"2004-06-04",15.36
"2004-06-05",13.58
"2004-06-06",16.79
"2004-06-07",14.81
"2004-06-08",16.35
"2004-06-09",15.09
"2004-06-10",15.53
"2004-06-11",15.27
"2004-06-12",16.1
"2004-06-13",16.71
"2004-06-14",16.79
"2004-06-15",17.21
"2004-06-16",17.92
"2004-06-17",18.3
"2004-06-18",17.42
"2004-06-19",17.58
"2004-06-20",17.54
"2004-06-21",17.54
"2004-06-22",17.39
"2004-06-23",17.36
"2004-06-24",16.52
"2004-06-25",16.3
"2004-06-26",16.35
"2004-06-27",16.54
"2004-06-28",16.76
"2004-06-29",18.55
"2004-06-30",18.28
"2004-07-01",18.13
"2004-07-02",19.38
"2004-07-03",19.93
"2004-07-04",18.82
"2004-07-05",NA
"2004-07-06",17.89
"2004-07-07",17.36
"2004-07-08",17.32
"2004-07-09",18.31
"2004-07-10",19.18
"2004-07-11",19.73
"2004-07-12",21.78
"2004-07-13",20.43
"2004-07-14",20.12
"2004-07-15",21.25
"2004-07-16",20.1
"2004-07-17",20.62
"2004-07-18",21.31
"2004-07-19",22.17
"2004-07-20",23.07
"2004-07-21",23.19
"2004-07-22",21.89
"2004-07-23",21.44
"2004-07-24",21.69
"2004-07-25",21.75
"2004-07-26",22.56
"2004-07-27",22.56
"2004-07-28",21.87
"2004-07-29",21.81
"2004-07-30",21.95
"2004-07-31",21.64
"2004-08-01",22.38
"2004-08-02",23.13
"2004-08-03",22.19
"2004-08-04",21.67
"2004-08-05",21.62
"2004-08-06",21.45
"2004-08-07",21.31
"2004-08-08",21.12
"2004-08-09",20.92
"2004-08-10",19.98
"2004-08-11",19.1
"2004-08-12",18.75
"2004-08-13",18.72
"2004-08-14",19.43
"2004-08-15",19.05
"2004-08-16",18.69
"2004-08-17",18.99
"2004-08-18",18.42
"2004-08-19",18.05
"2004-08-20",17.92
"2004-08-21",17.86
"2004-08-22",17.68
"2004-08-23",17.73
"2004-08-24",17.92
"2004-08-25",18.41
"2004-08-26",18.47
"2004-08-27",18.8
"2004-08-28",18.14
"2004-08-29",18.05
"2004-08-30",18.24
"2004-08-31",18.24
"2004-09-01",18.05
"2004-09-02",18.85
"2004-09-03",19.49
"2004-09-04",19.91
"2004-09-05",19.68
"2004-09-06",19.13
"2004-09-07",18.42
"2004-09-08",18.24
"2004-09-09",18.67
"2004-09-10",18.33
"2004-09-11",18.8
"2004-09-12",18.88
"2004-09-13",18.69
"2004-09-14",18.77
"2005-06-02",NA
"2005-06-03",16.344
"2005-06-04",16.866
"2005-06-05",16.822
"2005-06-06",16.735
"2005-06-07",17.115
"2005-06-08",17.727
"2005-06-09",18.71
"2005-06-10",18.906
"2005-06-11",19.404
"2005-06-12",NA
"2005-06-13",20.298
"2005-06-14",19.832
"2005-06-15",NA
"2005-06-16",18.951
"2005-06-17",NA
"2005-06-18",19.686
"2005-06-19",20.214
"2005-06-20",20.876
"2005-06-21",21.223
"2005-06-22",21.714
"2005-06-23",21.65
"2005-06-24",21.889
"2005-06-25",22.835
"2005-06-26",22.158
"2005-06-27",22.066
"2005-06-28",22.544
"2005-06-29",22.41
"2005-06-30",NA
"2005-07-01",NA
"2005-07-02",20.765
"2005-07-03",NA
"2005-07-04",20.743
"2005-07-05",20.616
"2005-07-06",20.872
"2005-07-07",21.142
"2005-07-08",21.567
"2005-07-09",22.192
"2005-07-10",22.946
"2005-07-11",23.7
"2005-07-12",25.355
"2005-07-13",24.765
"2005-07-14",25.168
"2005-07-15",25.889
"2005-07-16",26.172
"2005-07-17",26.18
"2005-07-18",25.238
"2005-07-19",24.606
"2005-07-20",24.123
"2005-07-21",24.683
"2005-07-22",NA
"2005-07-23",NA
"2005-07-24",23.781
"2005-07-25",23.43
"2005-07-26",NA
"2005-07-27",22.825
"2005-07-28",NA
"2005-07-29",NA
"2005-07-30",22.129
"2005-07-31",NA
"2005-08-01",23.39
"2005-08-02",24.015
"2005-08-03",24.184
"2005-08-04",24.049
"2005-08-05",24.024
"2005-08-06",23.585
"2005-08-07",23.741
"2005-08-08",23.782
"2005-08-09",23.745
"2005-08-10",23.726
"2005-08-11",23.417
"2005-08-12",23.12
"2005-08-13",22.868
"2005-08-14",22.771
"2005-08-15",22.73
"2005-08-16",22.818
"2005-08-17",22.492
"2005-08-18",22.104
"2005-08-19",22.1
"2005-08-20",22.05
"2005-08-21",NA
"2005-08-22",20.846
"2005-08-23",NA
"2005-08-24",20.547
"2005-08-25",20.487
"2005-08-26",20.369
"2005-08-27",20.374
"2005-08-28",NA
"2005-08-29",20.288
"2005-08-30",20.18
"2005-08-31",20.624
"2005-09-01",20.002
"2005-09-02",19.587
"2005-09-03",NA
"2005-09-04",19.62
"2005-09-05",19.844
"2005-09-06",20.096
"2005-09-07",NA
"2005-09-08",19.902
"2005-09-09",19.752
"2005-09-10",19.966
"2005-09-11",20.103
"2005-09-12",20.292
"2005-09-13",20.528
"2005-09-14",NA
"2005-09-15",19.934
"2006-06-02",NA
"2006-06-03",NA
"2006-06-04",19.976
"2006-06-05",19.808
"2006-06-06",NA
"2006-06-07",NA
"2006-06-08",NA
"2006-06-09",NA
"2006-06-10",18.407
"2006-06-11",NA
"2006-06-12",NA
"2006-06-13",18.968
"2006-06-14",NA
"2006-06-15",19.23
"2006-06-16",19.671
"2006-06-17",20.39
"2006-06-18",NA
"2006-06-19",NA
"2006-06-20",NA
"2006-06-21",20.485
"2006-06-22",NA
"2006-06-23",NA
"2006-06-24",NA
"2006-06-25",NA
"2006-06-26",21.526
"2006-06-27",NA
"2006-06-28",NA
"2006-06-29",NA
"2006-06-30",NA
"2006-07-01",21.744
"2006-07-02",21.974
"2006-07-03",NA
"2006-07-04",NA
"2006-07-05",21.457
"2006-07-06",NA
"2006-07-07",21.867
"2006-07-08",21.832
"2006-07-09",NA
"2006-07-10",NA
"2006-07-11",22.742
"2006-07-18",24.308
"2006-07-19",23.342
"2006-07-20",23.351
"2006-07-21",NA
"2006-07-22",NA
"2006-07-23",NA
"2006-07-24",22.708
"2006-07-25",23.311
"2006-07-26",23.44
"2006-07-27",NA
"2006-07-28",23.999
"2006-07-29",NA
"2006-07-30",NA
"2006-07-31",23.603
"2006-08-01",NA
"2006-08-02",NA
"2006-08-03",NA
"2006-08-04",NA
"2006-08-05",23.598
"2006-08-06",NA
"2006-08-07",NA
"2006-08-08",NA
"2006-08-09",NA
"2006-08-10",NA
"2006-08-11",NA
"2006-08-12",NA
"2006-08-13",NA
"2006-08-14",NA
"2006-08-15",NA
"2006-08-16",NA
"2006-08-17",NA
"2006-08-18",22.197
"2006-08-19",NA
"2006-08-20",21.27
"2006-08-21",NA
"2006-08-22",NA
"2006-08-23",NA
"2006-08-24",NA
"2006-08-25",NA
"2006-08-26",NA
"2006-08-27",NA
"2006-08-28",NA
"2006-08-29",NA
"2006-08-30",20.406
"2006-08-31",NA
"2006-09-01",NA
"2006-09-02",NA
"2006-09-03",NA
"2006-09-04",NA
"2006-09-05",NA
"2006-09-06",NA
"2006-09-07",20.354
"2006-09-08",NA
"2006-09-09",NA
"2006-09-10",NA
"2006-09-11",NA
"2006-09-12",NA
"2006-09-13",NA
"2006-09-14",NA
"2006-09-15",NA
"2007-06-13",19.796
"2007-06-14",20.741
"2007-06-15",21.09
"2007-06-16",21.607
"2007-06-17",20.949
"2007-06-18",20.218
"2007-06-19",18.897
"2007-06-20",18.398
"2007-06-21",19.274
"2007-06-22",19.042
"2007-06-23",19.422
"2007-06-24",20.308
"2007-06-25",20.974
"2007-06-26",21.661
"2007-06-27",21.72
"2007-06-28",21.146
"2007-06-29",21.627
"2007-06-30",21.366
"2007-07-01",21.296
"2007-07-02",20.632
"2007-07-03",21.187
"2007-07-04",21.262
"2007-07-05",21.22
"2007-07-06",21.785
"2007-07-07",22.074
"2007-07-08",22.757
"2007-07-09",23.436
"2007-07-10",22.463
"2007-07-11",21.266
"2007-07-12",20.536
"2007-07-13",20.205
"2007-07-14",19.846
"2007-07-15",19.762
"2007-07-16",20.944
"2007-07-17",21.161
"2007-07-18",21.651
"2007-07-19",20.13
"2007-07-20",20.632
"2007-07-21",20.983
"2007-07-22",20.772
"2007-07-23",21.051
"2007-07-24",23.055
"2007-07-25",23.875
"2007-07-26",24.115
"2007-07-27",23.038
"2007-07-28",23.732
"2007-07-29",23.145
"2007-07-30",23.645
"2007-07-31",24.156
"2007-08-01",24.096
"2007-08-02",23.925
"2007-08-03",23.68
"2007-08-04",23.507
"2007-08-05",23.069
"2007-08-06",23.077
"2007-08-07",22.673
"2007-08-08",23.327
"2007-08-09",23.082
"2007-08-10",23.708
"2007-08-11",23.239
"2007-08-12",23.239
"2007-08-13",23.072
"2007-08-14",22.785
"2007-08-15",22.607
"2007-08-16",22.362
"2007-08-17",21.695
"2007-08-18",21.043
"2007-08-19",20.585
"2007-08-20",20.005
"2007-08-21",19.492
"2007-08-22",20.238
"2007-08-23",20.432
"2007-08-24",19.969
"2007-08-25",19.598
"2007-08-26",19.565
"2007-08-27",19.485
"2007-08-28",19.866
"2007-08-29",19.654
"2007-08-30",19.914
"2007-08-31",19.895
"2007-09-01",19.994
"2007-09-02",19.859
"2007-09-03",20.439
"2007-09-04",20.214
"2007-09-05",20.417
"2007-09-06",20.629
"2007-09-07",20.712
"2007-09-08",20.465
"2007-09-09",19.765
"2007-09-10",19.32
"2007-09-11",18.365
"2007-09-12",17.429
"2007-09-13",17.121
"2007-09-14",16.631
"2007-09-15",16.313
"2008-06-01",11.848
"2008-06-02",12.534
"2008-06-03",12.156
"2008-06-04",12.345
"2008-06-05",12.699
"2008-06-06",12.448
"2008-06-18",15.376
"2008-06-19",15.894
"2008-06-20",16.835
"2008-06-21",16.632
"2008-06-22",16.739
"2008-06-23",16.871
"2008-06-24",17.267
"2008-06-25",17.804
"2008-06-26",19.922
"2008-06-27",19.185
"2008-06-28",19.054
"2008-06-29",18.612
"2008-06-30",18.613
"2008-07-01",18.921
"2008-07-02",19.069
"2008-07-03",19.602
"2008-07-04",19.556
"2008-07-05",19.676
"2008-07-06",19.684
"2008-07-07",21.09
"2008-07-08",20.469
"2008-07-09",20.222
"2008-07-10",20.136
"2008-07-11",20.15
"2008-07-12",20.096
"2008-07-13",19.203
"2008-07-14",19.202
"2008-07-15",19.635
"2008-07-16",20.503
"2008-07-17",20.448
"2008-07-18",20.778
"2008-07-19",21.506
"2008-07-20",21.108
"2008-07-21",21.007
"2008-07-22",20.854
"2008-07-23",21.613
"2008-07-24",21.377
"2008-07-25",21.211
"2008-07-26",20.935
"2008-07-27",20.944
"2008-07-28",22.194
"2008-07-29",21.317
"2008-07-30",21.369
"2008-07-31",21.853
"2008-08-01",21.755
"2008-08-02",22.328
"2008-08-03",21.961
"2008-08-04",22.587
"2008-08-05",22.155
"2008-08-06",22.128
"2008-08-07",22.02
"2008-08-08",21.977
"2008-08-09",21.741
"2008-08-10",21.39
"2008-08-11",21.877
"2008-08-12",21.491
"2008-08-13",21.369
"2008-08-14",21.185
"2008-08-15",21.58
"2008-08-16",21.187
"2008-08-17",21.256
"2008-08-18",21.379
"2008-08-19",21.38
"2008-08-20",21.469
"2008-08-21",21.438
"2008-08-22",21.109
"2008-08-23",21.017
"2008-08-24",20.625
"2008-08-25",20.91
"2008-08-26",20.52
"2008-08-27",20.287
"2008-08-28",20.153
"2008-08-29",20.244
"2008-08-30",20.902
"2008-08-31",20.373
"2008-09-01",20.367
"2008-09-02",20.455
"2008-09-03",20.237
"2008-09-04",19.64
"2008-09-05",19.455
"2008-09-06",19.1
"2008-09-07",18.759
"2008-09-08",18.28
"2008-09-09",18.07
"2008-09-10",17.605
"2008-09-11",17.215
"2008-09-12",17.938
"2008-09-13",17.314
"2008-09-14",17.039
"2009-06-02",12.393
"2009-06-03",14.57
"2009-06-04",13.374
"2009-06-05",13.623
"2009-06-06",13.985
"2009-06-07",13.47
"2009-06-08",12.95
"2009-06-09",13.043
"2009-06-10",13.065
"2009-06-11",13.556
"2009-06-12",15.147
"2009-06-13",14.921
"2009-06-14",15.929
"2009-06-15",17.333
"2009-06-16",16.767
"2009-06-17",17.45
"2009-06-18",18.075
"2009-06-19",18.454
"2009-06-20",19.128
"2009-06-21",20.068
"2009-06-22",20.207
"2009-06-23",22
"2009-06-24",22.921
"2009-06-25",22.85
"2009-06-26",23.21
"2009-06-27",21.925
"2009-06-28",20.563
"2009-06-29",19.339
"2009-06-30",18.189
"2009-07-01",17.636
"2009-07-02",17.427
"2009-07-03",17.814
"2009-07-04",19.134
"2009-07-05",18.703
"2009-07-06",18.682
"2009-07-07",18.825
"2009-07-08",19.341
"2009-07-09",19.11
"2009-07-10",19.486
"2009-07-11",19.67
"2009-07-12",19.468
"2009-07-13",19.447
"2009-07-14",19.414
"2009-07-15",19.255
"2009-07-16",18.815
"2009-07-17",18.239
"2009-07-18",17.881
"2009-07-19",18.687
"2009-07-20",18.54
"2009-07-21",18.627
"2009-07-22",18.53
"2009-07-23",18.73
"2009-07-24",19.449
"2009-07-25",19.321
"2009-07-26",19.439
"2009-07-27",NA
"2009-07-28",NA
"2009-07-29",NA
"2009-07-30",NA
"2009-07-31",NA
"2009-08-01",NA
"2009-08-02",NA
"2009-08-03",NA
"2009-08-04",NA
"2009-08-05",NA
"2009-08-06",NA
"2009-08-07",NA
"2009-08-08",NA
"2009-08-09",NA
"2009-08-10",NA
"2009-08-11",NA
"2009-08-12",21.085
"2009-08-13",21.17
"2009-08-14",22.089
"2009-08-15",22.09
"2009-08-16",21.833
"2009-08-17",21.5
"2009-08-18",21.07
"2009-08-19",20.622
"2009-08-20",20.253
"2009-08-21",19.714
"2009-08-22",19.318
"2009-08-23",19.645
"2009-08-24",19.487
"2009-08-25",19.453
"2009-08-26",20.266
"2009-08-27",20.401
"2009-08-28",19.878
"2009-08-29",18.982
"2009-08-30",18.423
"2009-08-31",18.525
"2009-09-01",18.727
"2009-09-02",18.858
"2009-09-03",19.396
"2009-09-04",19.825
"2009-09-05",19.837
"2009-09-06",19.936
"2009-09-07",20.369
"2009-09-08",20.379
"2009-09-09",20.341
"2009-09-10",20.627
"2010-06-02",18.859
"2010-06-03",19.813
"2010-06-04",18.647
"2010-06-05",18.307
"2010-06-06",17.995
"2010-06-07",18.745
"2010-06-08",17.846
"2010-06-09",16.894
"2010-06-10",17.317
"2010-06-11",16.934
"2010-06-12",16.545
"2010-06-13",16.643
"2010-06-14",16.818
"2010-06-15",16.648
"2010-06-16",16.709
"2010-06-17",17.106
"2010-06-18",17.675
"2010-06-19",17.92
"2010-06-20",19.313
"2010-06-21",19.033
"2010-06-22",19.552
"2010-06-23",20.186
"2010-06-24",20.067
"2010-06-25",20.129
"2010-06-26",20.618
"2010-06-27",20.724
"2010-06-28",20.495
"2010-06-29",20.023
"2010-06-30",20.235
"2010-07-01",20.031
"2010-07-02",20.197
"2010-07-03",20.512
"2010-07-04",20.768
"2010-07-05",21.115
"2010-07-06",22.028
"2010-07-07",22.987
"2010-07-08",22.684
"2010-07-09",22.983
"2010-07-10",23.058
"2010-07-11",22.739
"2010-07-12",22.445
"2010-07-13",22.366
"2010-07-14",22.078
"2010-07-15",21.832
"2010-07-16",21.813
"2010-07-17",22.183
"2010-07-18",22.656
"2010-07-19",22.732
"2010-07-20",22.678
"2010-07-21",22.533
"2010-07-22",22.462
"2010-07-23",22.333
"2010-07-24",22.365
"2010-07-25",22.814
"2010-07-26",23.012
"2010-07-27",22.928
"2010-07-28",22.835
"2010-07-29",22.971
"2010-07-30",22.97
"2011-06-02",12.01
"2011-06-03",12.352
"2011-06-04",13.319
"2011-06-05",15.655
"2011-06-06",16.61
"2011-06-07",16.371
"2011-06-08",17.103
"2011-06-09",16.365
"2011-06-10",15.477
"2011-06-11",15.186
"2011-06-12",16.785
"2011-07-05",21.338
"2011-07-06",22.856
"2011-07-07",20.977
"2011-07-08",21.732
"2011-07-09",21.04
"2011-07-10",22.171
"2011-07-11",22.598
"2011-07-12",21.788
"2011-07-13",20.148
"2011-07-14",18.921
"2011-07-15",19.692
"2011-07-16",23.524
"2011-07-17",22.558
"2011-07-18",24.518
"2011-07-19",23.92
"2011-07-20",22.551
"2011-07-23",23.749
"2011-07-24",20.226
"2011-07-25",18.792
"2011-07-26",19.986
"2011-07-27",19.805
"2011-07-28",23.848
"2011-07-29",22.544
"2011-07-30",23.139
"2011-07-31",24.151
"2011-08-01",23.132
"2011-08-02",21.809
"2011-08-03",20.214
"2011-08-04",NA
"2011-08-05",21.63
"2011-08-06",22.299
"2011-08-07",21.327
"2011-08-08",20.245
"2011-08-09",17.578
"2011-08-10",16.672
"2011-08-11",19.348
"2011-08-12",20.597
"2011-08-13",19.869
"2011-08-14",NA
"2011-08-15",22.985
"2011-08-16",24.698
"2011-08-17",19.24
"2011-08-18",19.176
"2011-08-19",19.882
"2011-08-20",17.051
"2011-08-21",15.909
"2011-08-22",22.292
"2011-08-23",20.166
"2011-08-24",18.329
"2011-08-25",16.783
"2011-08-26",20.558
"2011-08-27",17.901
"2011-08-28",17.761
"2011-08-29",23
"2011-08-30",22.136
"2011-08-31",16.764
"2011-09-01",24.557
"2011-09-02",21.105
"2011-09-03",18.417
"2011-09-04",14.168
"2011-09-05",11.631
"2011-09-06",12.19
"2011-09-07",20.159
"2011-09-08",21.346
"2011-09-09",18.75
"2011-09-10",NA
"2011-09-11",NA
"2011-09-12",NA
"2011-09-13",NA
"2011-09-14",NA
"2011-09-15",NA
"2012-06-01",15.704
"2012-06-02",15.308
"2012-06-03",15.858
"2012-06-04",17.179
"2012-06-05",17.272
"2012-06-06",18.165
"2012-06-07",18.96
"2012-06-08",18.658
"2012-06-09",18.718
"2012-06-10",18.867
"2012-06-11",18.77
"2012-06-12",18.416
"2012-06-13",18.199
"2012-06-14",17.801
"2012-06-15",18.404
"2012-06-16",18.388
"2012-06-17",18.116
"2012-06-18",18.373
"2012-06-19",18.926
"2012-06-20",19.157
"2012-06-21",19.229
"2012-06-22",19.669
"2012-06-23",19.392
"2012-06-24",19.417
"2012-06-25",20.189
"2012-06-26",20.262
"2012-06-27",20.504
"2012-06-28",21.081
"2012-06-29",21.207
"2012-06-30",21.547
"2012-07-01",22.964
"2012-07-02",22.956
"2012-07-03",23.327
"2012-07-04",24.463
"2012-07-05",24.365
"2012-07-06",24.444
"2012-07-07",23.73
"2012-07-08",23.83
"2012-07-09",23.756
"2012-07-10",24.287
"2012-07-11",24.147
"2012-07-12",24.273
"2012-07-13",24.174
"2012-07-14",24.148
"2012-07-15",24.734
"2012-07-16",24.709
"2012-07-17",24.375
"2012-07-18",23.891
