"sampledate","depth","wtemp","flag_wtemp"
2003-08-21,0,24.359,""
2003-08-21,1,21.926,""
2003-08-21,1.5,16.599,""
2003-08-21,2,12.31,""
2003-08-21,2.5,8.664,""
2003-08-21,3,6.7,""
2003-08-21,4,4.8,""
2003-08-21,5,4.529,""
2003-08-21,6,4.565,""
2003-08-21,7,4.369,""
2003-08-22,0,24.459,""
2003-08-22,1,21.939,""
2003-08-22,1.5,16.652,""
2003-08-22,2,12.347,""
2003-08-22,2.5,8.689,""
2003-08-22,3,6.727,""
2003-08-22,4,4.816,""
2003-08-22,5,4.539,""
2003-08-22,6,4.568,""
2003-08-22,7,4.373,""
2003-08-23,0,22.114,""
2003-08-23,1,21.632,""
2003-08-23,1.5,16.692,""
2003-08-23,2,12.346,""
2003-08-23,2.5,8.704,""
2003-08-23,3,6.735,""
2003-08-23,4,4.789,""
2003-08-23,5,4.549,""
2003-08-23,6,4.579,""
2003-08-23,7,4.38,""
2003-08-24,0,24.095,""
2003-08-24,1,20.768,""
2003-08-24,1.5,16.907,""
2003-08-24,2,12.573,""
2003-08-24,2.5,8.854,""
2003-08-24,3,6.842,""
2003-08-24,4,4.823,""
2003-08-24,5,4.549,""
2003-08-24,6,4.577,""
2003-08-24,7,4.387,""
2003-08-25,0,24.942,""
2003-08-25,1,20.692,""
2003-08-25,1.5,16.939,""
2003-08-25,2,12.641,""
2003-08-25,2.5,8.904,""
2003-08-25,3,6.874,""
2003-08-25,4,4.842,""
2003-08-25,5,4.554,""
2003-08-25,6,4.58,""
2003-08-25,7,4.42,""
2003-08-26,0,25.04,""
2003-08-26,1,20.783,""
2003-08-26,1.5,16.942,""
2003-08-26,2,12.689,""
2003-08-26,2.5,8.938,""
2003-08-26,3,6.9,""
2003-08-26,4,4.841,""
2003-08-26,5,4.554,""
2003-08-26,6,4.58,""
2003-08-26,7,4.389,""
2003-08-27,0,23.523,""
2003-08-27,1,20.935,""
2003-08-27,1.5,16.92,""
2003-08-27,2,12.716,""
2003-08-27,2.5,8.96,""
2003-08-27,3,6.922,""
2003-08-27,4,4.864,""
2003-08-27,5,4.569,""
2003-08-27,6,4.58,""
2003-08-27,7,4.39,""
2003-08-28,0,22.031,""
2003-08-28,1,20.649,""
2003-08-28,1.5,16.934,""
2003-08-28,2,12.779,""
2003-08-28,2.5,9.012,""
2003-08-28,3,6.961,""
2003-08-28,4,4.868,""
2003-08-28,5,4.588,""
2003-08-28,6,4.581,""
2003-08-28,7,4.39,""
2003-08-29,0,21.132,""
2003-08-29,1,20.163,""
2003-08-29,1.5,16.946,""
2003-08-29,2,12.844,""
2003-08-29,2.5,9.056,""
2003-08-29,3,6.987,""
2003-08-29,4,4.885,""
2003-08-29,5,4.591,""
2003-08-29,6,4.581,""
2003-08-29,7,4.391,""
2003-08-30,0,21.185,""
2003-08-30,1,19.041,""
