"lake","year","doyCat","mean_temp","mean_chl","mean_pH","mean_doSat","mean_do","date","X.lake_year.","lake_year","normTemp","normChl"
"L",2008,134,12.7690882816709,2.62019546619118,6.60690225322917,97.885784391096,NA,2008-05-13,"lake_year","L_2008",100,100
"L",2008,135,12.9231520677348,2.04456108706337,6.59874344652083,96.6684958876973,NA,2008-05-14,"lake_year","L_2008",101.206537089144,78.0308611874451
"L",2008,136,13.8503905123159,2.02990940130988,6.62311980710069,98.3701770604068,NA,2008-05-15,"lake_year","L_2008",108.468124010053,77.4716782584406
"L",2008,137,15.2512982276489,2.1286854582636,6.58427533274479,97.9452882933594,NA,2008-05-16,"lake_year","L_2008",119.439210468464,81.2414755208298
"L",2008,138,14.9451099965191,1.78928697788797,6.59864082821528,95.7235825260278,NA,2008-05-17,"lake_year","L_2008",117.041324069877,68.2883014254256
"L",2008,139,13.8735214221812,1.99088723998818,6.60556025709375,93.6230048037083,NA,2008-05-18,"lake_year","L_2008",108.649271711087,75.9823938968268
"L",2008,140,13.5837129195755,1.87158104607592,6.63928523217361,94.2982845457679,NA,2008-05-19,"lake_year","L_2008",106.379661726311,71.4290620766749
"L",2008,141,13.8778682353242,1.54208373938297,6.63613520071875,93.9113703655439,NA,2008-05-20,"lake_year","L_2008",108.683313398693,58.8537671819043
"L",2008,142,14.2037373216988,1.49567968259341,6.62756849878819,93.7770204600027,NA,2008-05-21,"lake_year","L_2008",111.235328696781,57.0827521035134
"L",2008,143,14.6132905275798,1.60582862262512,6.59428145362152,93.8586179607487,NA,2008-05-22,"lake_year","L_2008",114.442708870265,61.2865964904296
"L",2008,144,15.4207700394358,1.71597756265683,6.56099440845486,93.9402154614946,NA,2008-05-23,"lake_year","L_2008",120.766414165772,65.4904408773458
"L",2008,145,16.4114519951947,1.59461914374921,6.52809185447569,94.3240823043028,NA,2008-05-24,"lake_year","L_2008",128.524853405173,60.8587857022443
"L",2008,146,17.1001352090744,1.74714204741682,6.4819601336875,93.3091408750613,NA,2008-05-25,"lake_year","L_2008",133.918215865266,66.6798362931501
"L",2008,147,17.017285817274,1.92985275093584,6.44096729788889,90.5096452386723,NA,2008-05-26,"lake_year","L_2008",133.269388087019,73.6530070308514
"L",2008,148,15.8142168010669,1.77080404660109,6.47782167868403,90.3357725572015,NA,2008-05-27,"lake_year","L_2008",123.847658127378,67.5828986596638
"L",2008,149,16.1605356705041,1.42092163152823,6.48880822316551,90.9038178880013,NA,2008-05-28,"lake_year","L_2008",126.559824116036,54.2296042361198
"L",2008,150,17.4258998680887,1.07103921645538,6.49979476764699,91.4718632188011,NA,2008-05-29,"lake_year","L_2008",136.469413349599,40.8763098125761
"L",2008,151,17.1745252630728,0.721156801382521,6.51078131212847,92.0399085496009,NA,2008-05-30,"lake_year","L_2008",134.500795078107,27.5230153890321
"L",2008,152,16.0610394848913,1.14314748447336,6.46934775239931,89.5814403777059,NA,2008-05-31,"lake_year","L_2008",125.78062842549,43.6283284672301
"L",2008,153,16.0306938623267,0.984852054620173,6.51440726049306,91.5512243590161,NA,2008-06-01,"lake_year","L_2008",125.542979331873,37.5869688856379
"L",2008,154,17.0618585135776,0.849668416592764,6.54214039130208,93.8619893791955,NA,2008-06-02,"lake_year","L_2008",133.618455266447,32.4276729563186
"L",2008,155,16.5702183812903,1.10010975531296,6.54063739729167,92.9774601325642,NA,2008-06-03,"lake_year","L_2008",129.768218495878,41.9857895911912
"L",2008,156,16.3727562051106,1.03813091100198,6.57788440627778,93.6424381936609,NA,2008-06-04,"lake_year","L_2008",128.221810703686,39.6203613202586
"L",2008,157,16.8865116129569,1.74008482624204,6.59284614307639,93.9905102309179,NA,2008-06-05,"lake_year","L_2008",132.245241323895,66.4104968005115
"L",2008,158,17.6418151876503,2.4420387414821,6.607807879875,94.3385822681749,NA,2008-06-06,"lake_year","L_2008",138.16033532303,93.2006322807643
