"lakeid","year4","daynum","sampledate","taxon_name","number_per_net","mean_length","mean_individ_biomass","net_efficiency_mean","abundance_raw","abundance","biomass"
"R",2018,148,2018-05-28,"Cyclopoid",281.261663286004,0.372606666666667,0.182980583340314,0.247252532666667,3979.0385790414,16093.0144420633,0.00294470917031285
"R",2018,148,2018-05-28,"Calanoid",11.0608519269777,0.882774615384615,0.962032701813488,0.168478539375,156.479045243201,928.777313856632,0.000893514148632569
"R",2018,148,2018-05-28,"Mesocyclops edax",45.8235294117647,1.18578727272727,3.91917655565916,0.231808059111111,648.270330293263,2796.58236551013,0.0109603000428771
"R",2018,148,2018-05-28,"Holopedium gibberum",44.2434077079107,0.134959333333333,0.0124565905227117,0.157585475384615,625.916180972805,3971.91542840574,4.94765240824912e-05
"R",2018,148,2018-05-28,"Daphnia",37.9229208924949,0.95858,2.15728591847639,0.17723005627381,536.499583690976,3027.13656459103,0.00653039908409722
"R",2018,148,2018-05-28,"Nauplii",1074.48275862069,0.168233333333333,0.301148683018358,0.143749885772727,15200.821537911,105744.929508632,0.0318449462573938
"L",2018,149,2018-05-29,"Cyclopoid",165.147058823529,0.420916666666667,0.234131458954369,0.221882997777778,2336.35295545357,10529.6619337796,0.0024653251108521
"L",2018,149,2018-05-29,"Calanoid",82.5735294117647,0.770947333333333,0.707824002298185,0.119340016222222,1168.17647772679,9788.64017876062,0.00692863446838717
"L",2018,149,2018-05-29,"Mesocyclops edax",17.6156862745098,1.16787,3.88537441884268,0.169252581333333,249.210981915048,1472.42056783903,0.00572090520805958
"L",2018,149,2018-05-29,"Holopedium gibberum",962.256862745098,0.184576666666667,0.0343931067838456,0.181128487363636,13613.1498871095,75157.4204878085,0.00258489718843558
"L",2018,149,2018-05-29,"Daphnia",62.7558823529412,0.822774666666667,1.26929373834475,0.1437983365,887.814123072358,6174.02220833311,0.00783664772943865
"L",2018,149,2018-05-29,"Nauplii",798.210784313725,0.183126666666667,0.313889048941513,0.184969965304348,11292.3726180256,61049.7634004809,0.0191628521718813
"R",2018,155,2018-06-04,"Cyclopoid",329.180092059839,0.455999333333333,0.287321071801213,0.247252532666667,4656.94567277942,18834.7744007042,0.0054116275679444
"R",2018,155,2018-06-04,"Calanoid",30.6214039125432,0.84009,0.861284610890576,0.168478539375,433.204248630644,2571.27258010242,0.00221459750364712
"R",2018,155,2018-06-04,"Mesocyclops edax",45.9321058688147,0.960386666666667,1.70345034675551,0.231808059111111,649.806372945966,2803.20872120541,0.00477512686816544
"R",2018,155,2018-06-04,"Holopedium gibberum",76.5535097813579,0.181332,0.0347074602830259,0.157585475384615,1083.01062157661,6872.52818785064,0.000238527999123802
"R",2018,155,2018-06-04,"Daphnia",91.8642117376295,1.310508,4.68006661632503,0.17723005627381,1299.61274589193,7332.9139154823,0.034318525616234
"R",2018,155,2018-06-04,"Nauplii",1013.0581127733,0.172671333333333,0.304311306000801,0.143749885772727,14331.8405588638,99699.8396334234,0.0303397884069175
"L",2018,156,2018-06-05,"Cyclopoid",126.237596471885,0.423765333333333,0.238044876149175,0.221882997777778,1785.89666511472,8048.82159967634,0.00191598074084176
"L",2018,156,2018-06-05,"Calanoid",75.7425578831312,0.793147333333333,0.740609411257445,0.119340016222222,1071.53799906883,8978.86587407134,0.00664983256875554
"L",2018,156,2018-06-05,"Mesocyclops edax",31.0738699007718,1.034045,2.57906617411314,0.169252581333333,439.605332951315,2597.3331070534,0.0066986939593056
"L",2018,156,2018-06-05,"Holopedium gibberum",868.126240352811,0.194765333333333,0.0408460485113657,0.181128487363636,12281.4739893274,67805.3141617138,0.00276957915157775
"L",2018,156,2018-06-05,"Daphnia",64.0898566703418,1.020636,2.23485496238816,0.1437983365,906.685999212087,6305.26069550246,0.0140913431544947
"L",2018,156,2018-06-05,"Nauplii",623.419514884234,0.148964666666667,0.284874762891179,0.184969965304348,8819.58199233575,47681.1571966513,0.0135831583507731
"R",2018,162,2018-06-11,"Cyclopoid",569.544431946007,0.450705333333333,0.286933018062514,0.247252532666667,8057.40548041534,32587.7571142129,0.00935050350066926
"R",2018,162,2018-06-11,"Calanoid",41.7182227221597,0.794078,0.741792872516246,0.168478539375,590.19212117692,3503.07002521709,0.00259855237663134
"R",2018,162,2018-06-11,"Mesocyclops edax",101.574803149606,1.08059777777778,2.41223911444767,0.231808059111111,1436.98951243076,6199.04898018226,0.0149535884223726
"R",2018,162,2018-06-11,"Holopedium gibberum",181.383577052868,0.235400666666667,0.0749490178733794,0.157585475384615,2566.05270076922,16283.560997651,0.00122043690425521
"R",2018,162,2018-06-11,"Daphnia",77.9949381327334,1.49753533333333,5.93058860646451,0.17723005627381,1103.40266133076,6225.821311178,0.0369227849339562
"R",2018,162,2018-06-11,"Nauplii",892.407199100112,0.166279333333333,0.299090638489375,0.143749885772727,12624.9792877845,87826.0126602467,0.0262679382025291
"L",2018,163,2018-06-12,"Cyclopoid",176.964477933262,0.456315333333333,0.288869874204995,0.221882997777778,2503.53523686713,11283.1323803119,0.00325935703133902
"L",2018,163,2018-06-12,"Calanoid",63.7072120559742,0.806328666666667,0.77287890868112,0.119340016222222,901.272685272167,7552.14146773631,0.00583689085578947
"L",2018,163,2018-06-12,"Mesocyclops edax",35.3928955866523,1.00577133333333,2.07769814397509,0.169252581333333,500.707047373426,2958.34216192728,0.00614654201907958
"L",2018,163,2018-06-12,"Holopedium gibberum",948.529601722282,0.212988,0.0523998581438363,0.181128487363636,13418.9488696078,74085.2477979776,0.00388205647516499
"L",2018,163,2018-06-12,"Daphnia",47.1905274488698,0.714108461538462,0.834172141107938,0.1437983365,667.609396497901,4642.67816128667,0.00387279278227557
"L",2018,163,2018-06-12,"Nauplii",1295.37997847147,0.154408,0.28992933577371,0.184969965304348,18325.8779338674,99074.8844209067,0.0287247154320106
"R",2018,169,2018-06-18,"Cyclopoid",333.931147540983,0.405988666666667,0.214965727529668,0.247252532666667,4724.15935853302,19106.6166545679,0.00410726774977965
"R",2018,169,2018-06-18,"Calanoid",18.6459016393443,0.828096,0.831051449518401,0.168478539375,263.785547938392,1565.69227699237,0.00130117083629427
"R",2018,169,2018-06-18,"Mesocyclops edax",44.072131147541,0.959411333333333,1.55821327427899,0.231808059111111,623.493113308927,2689.69558564861,0.00419111936532728
"R",2018,169,2018-06-18,"Holopedium gibberum",101.704918032787,0.235023333333333,0.0769382419049544,0.157585475384615,1438.83026148214,9130.47511498393,0.0007024827031038
"R",2018,169,2018-06-18,"Daphnia",61.0229508196721,1.319658,5.50341806707373,0.17723005627381,863.298156889284,4871.0595428325,0.0268074770938163
