"lake","date","year","doy","PML","PML.g440","taxon_name","number_per_net","mean_length","mean_individ_biomass","net_efficiency_mean","abundance_raw","abundance","biomass","manual_chl","cumulative.load","daily.load"
"L",2008-05-15,2008,136,0.054,1.24362,"Daphnia",9.864059448,0.96369493,6.321225187,0.1437983365,139.547895120134,970.441651250496,0.0061343802083985,4.47853,0,0
"R",2008-05-19,2008,140,0.059,1.35877,"Daphnia",87.62576294,1.056330562,8.113742081,0.17723005627381,1239.6509612533,6994.58651267432,0.0567522709270807,11.99472,0,0
"L",2008-05-20,2008,141,0.055,1.26665,"Daphnia",16.26452446,1.707645059,29.964505,0.1437983365,230.095952430937,1600.12944538435,0.0479470867668665,2.79438,0,0
"R",2008-05-26,2008,147,0.055,1.26665,"Daphnia",943.6503906,0.824619472,4.137093853,0.17723005627381,13349.9221524078,75325.3846050977,0.31162818562461,6.31484,0,0
"L",2008-05-27,2008,148,0.055,1.26665,"Daphnia",584.3519897,1.021678567,7.410038579,0.1437983365,8266.88957034127,57489.4659531842,0.425999160599202,2.07805,0,0
"R",2008-06-02,2008,154,0.054,1.24362,"Daphnia",365.4194336,0.583256125,1.612957556,0.17723005627381,5169.62748082494,29169.0223967327,0.0470483950759432,3.86355,0,0
"L",2008-06-03,2008,155,0.058,1.33574,"Daphnia",33.79483032,0.770412147,3.438527571,0.1437983365,478.099048567099,3324.78845168768,0.0114323767588705,6.86966,0,0
"R",2008-06-09,2008,161,0.058,1.33574,"Daphnia",6607.456055,0.734464407,3.019437688,0.17723005627381,93476.3815480644,527429.621777297,1.59254087776196,3.60632,0,0
"L",2008-06-10,2008,162,0.069,1.58907,"Daphnia",270.6629639,1.145559072,10.11610179,0.1437983365,3829.09765480784,26628.2472245974,0.269374059413312,2.69339,0,0
"R",2008-06-16,2008,168,0.057,1.31271,"Daphnia",12536.80469,0.923788488,5.634338627,0.17723005627381,177359.505510325,1000730.40227621,5.63845396075811,5.91638,0,0
"L",2008-06-17,2008,169,0.069,1.58907,"Daphnia",246.2490692,1.352104187,15.87936929,0.1437983365,3483.71169732962,24226.3699436441,0.384699474891281,5.23043,0,0
"R",2008-06-23,2008,175,0.057,1.31271,"Daphnia",14746.25977,0.868850946,4.768884209,0.17723005627381,208616.900845569,1177096.62362951,5.61343750089399,4.9631,0,0
"L",2008-06-24,2008,176,0.068,1.56604,"Daphnia",184.9083099,0.841329634,4.36911672,0.1437983365,2615.91747016472,18191.5697624549,0.0794810916121881,6.21901,0,0
"R",2008-06-30,2008,182,0.056,1.28968,"Daphnia",12373.00781,0.980936348,6.633590691,0.17723005627381,175042.253677878,987655.578055273,6.55170284850168,6.46111,0,0
"L",2008-07-01,2008,183,0.068,1.56604,"Daphnia",146.441925,0.861404181,4.658526737,0.1437983365,2071.72944352379,14407.1864386539,0.0671162632294129,5.98195,0,0
"R",2008-07-07,2008,189,0.054,1.24362,"Daphnia",4495.033691,0.971053064,6.453368711,0.17723005627381,63591.7183366451,358808.881933659,2.31552601189957,7.59093,0,0
"L",2008-07-08,2008,190,0.069,1.58907,"Daphnia",162.2447662,0.74289912,3.114689761,0.1437983365,2295.29391391279,15961.8947602554,0.0497163501759269,4.89753,0,0
"R",2008-07-14,2008,196,0.054,1.24362,"Daphnia",2836.686279,0.900667429,5.258973042,0.17723005627381,40130.9016270049,226433.949583614,1.19081003665382,7.07646,0,0
"L",2008-07-15,2008,197,0.065,1.49695,"Daphnia",105.438797,0.998998642,6.971113315,0.1437983365,1491.65384321892,10373.2343469698,0.0723129920757767,4.18131,0,0
"R",2008-07-21,2008,203,0.054,1.24362,"Daphnia",2772.260742,0.866509259,4.734005352,0.17723005627381,39219.4667225694,221291.284035805,1.04759412297646,6.73852,0,0
"L",2008-07-22,2008,204,0.066,1.51998,"Daphnia",370.4725952,0.936025858,5.839673448,0.1437983365,5241.11509388114,36447.6754143893,0.212842522358732,5.46244,0,0
"R",2008-07-28,2008,210,0.06,1.3818,"Daphnia",2234.570313,0.886007786,5.02939475,0.17723005627381,31612.7032000314,178371.004696809,0.897098194574358,7.17229,0,0
"L",2008-07-29,2008,211,0.068,1.56604,"Daphnia",93.03785706,0.729966819,2.969409582,0.1437983365,1316.21643073566,9153.21041099569,0.0271796307004728,6.06265,0,0
"R",2008-08-04,2008,217,0.05,1.1515,"Daphnia",2728.817139,0.809359312,3.93215058,0.17723005627381,38604.8654636208,217823.46784328,0.856514675417563,7.93886,0,0
"L",2008-08-05,2008,218,0.064,1.47392,"Daphnia",151.4857483,0.986664474,6.739483838,0.1437983365,2143.08494665953,14903.4056917587,0.100441261790765,5.20521,0,0
"R",2008-08-11,2008,224,0.046,1.05938,"Daphnia",2611.035645,0.89208287,5.123748027,0.17723005627381,36938.5981769676,208421.748283484,1.06790052155139,10.17854,0,0
"L",2008-08-12,2008,225,0.062,1.42786,"Daphnia",60.52317429,0.852647841,4.530844894,0.1437983365,856.227765321406,5954.36488461329,0.026978303734463,3.0162,0,0
"R",2008-08-18,2008,231,0.046,1.05938,"Daphnia",1177.761353,0.833160579,4.254688016,0.17723005627381,16661.9147655599,94012.9181013081,0.399995635994825,5.60871,0,0
"L",2008-08-19,2008,232,0.059,1.35877,"Daphnia",228.2539215,1.128258109,9.705918518,0.1437983365,3229.13243438528,22455.9790674997,0.217955903071066,3.14733,0,0
"R",2009-05-18,2009,138,0.054,1.24362,NA,NA,NA,NA,NA,NA,NA,NA,3.93578,0,0
"L",2009-05-19,2009,139,0.05,1.1515,"Daphnia",42.84193039,0.645553291,2.125694899,0.1437983365,606.08933272599,4214.85635702045,0.00895949865813609,2.83153,0,0
"L",2009-05-26,2009,146,0.048,1.10544,"Daphnia",96.95967102,0.658087313,2.239838937,0.1437983365,1371.6987487464,9539.04462411079,0.0213659235708639,2.33024,0,0
"R",2009-05-27,2009,147,0.054,1.24362,"Daphnia",165.2012787,0.897199512,5.204077763,0.17723005627381,2337.12000979616,13186.9281031286,0.0686257993037714,3.89886,0,0
