"","lakeid","lakename","year4","daynum","sampledate","depth_id","depth","tn_ug","tp_ug","nh34","no23","po4","comments"
"1","R","Peter Lake",2008,135,2008-05-14,"-1",NA,388.32,10.67,NA,NA,NA,""
"2","L","Paul Lake",2008,136,2008-05-15,"-1",NA,230.64,9.46,NA,NA,NA,""
"3","R","Peter Lake",2008,140,2008-05-19,"-1",NA,377.03,8.48,NA,NA,NA,""
"4","L","Paul Lake",2008,141,2008-05-20,"-1",NA,198.83,7.74,NA,NA,NA,""
"5","R","Peter Lake",2008,147,2008-05-26,"-1",NA,358.51,9.44,NA,NA,NA,""
"6","L","Paul Lake",2008,148,2008-05-27,"-1",NA,236.67,5.25,NA,NA,NA,""
"7","R","Peter Lake",2008,154,2008-06-02,"-1",NA,359.2,11.55,NA,NA,NA,""
"8","L","Paul Lake",2008,155,2008-06-03,"-1",NA,290.08,10,NA,NA,NA,""
"9","R","Peter Lake",2008,161,2008-06-09,"-1",NA,336.6,10.7,NA,NA,NA,""
"10","L","Paul Lake",2008,162,2008-06-10,"-1",NA,257.75,8.04,NA,NA,NA,""
"11","R","Peter Lake",2008,168,2008-06-16,"-1",NA,301.4,4.85,NA,NA,NA,""
"12","L","Paul Lake",2008,169,2008-06-17,"-1",NA,231.42,4.06,NA,NA,NA,""
"13","R","Peter Lake",2008,175,2008-06-23,"-1",NA,293.15,5.84,NA,NA,NA,""
"14","L","Paul Lake",2008,176,2008-06-24,"-1",NA,336.5,14.36,NA,NA,NA,""
"15","R","Peter Lake",2008,182,2008-06-30,"-1",NA,392.07,4.13,NA,NA,NA,""
"16","L","Paul Lake",2008,183,2008-07-01,"-1",NA,272.46,3.55,NA,NA,NA,""
"17","R","Peter Lake",2008,189,2008-07-07,"-1",NA,359.84,7.54,NA,NA,NA,""
"18","L","Paul Lake",2008,190,2008-07-08,"-1",NA,328.37,10.34,NA,NA,NA,""
"19","R","Peter Lake",2008,196,2008-07-14,"-1",NA,317.39,4.05,NA,NA,NA,""
"20","L","Paul Lake",2008,197,2008-07-15,"-1",NA,312.1,4.49,NA,NA,NA,""
"21","R","Peter Lake",2008,203,2008-07-21,"-1",NA,437.84,3.48,NA,NA,NA,""
"22","L","Paul Lake",2008,204,2008-07-22,"-1",NA,295.32,3.17,NA,NA,NA,""
"23","R","Peter Lake",2008,210,2008-07-28,"-1",NA,348.96,5.48,NA,NA,NA,""
"24","L","Paul Lake",2008,211,2008-07-29,"-1",NA,263.99,4.02,NA,NA,NA,""
"25","R","Peter Lake",2008,217,2008-08-04,"-1",NA,322.11,4.43,NA,NA,NA,""
"26","L","Paul Lake",2008,218,2008-08-05,"-1",NA,355.4,3,NA,NA,NA,""
"27","R","Peter Lake",2008,224,2008-08-11,"-1",NA,319.4,4.76,NA,NA,NA,""
"28","L","Paul Lake",2008,225,2008-08-12,"-1",NA,323.88,4.39,NA,NA,NA,""
"29","R","Peter Lake",2008,231,2008-08-18,"-1",NA,242.11,4.65,NA,NA,NA,""
"30","L","Paul Lake",2008,232,2008-08-19,"-1",NA,311.55,4.17,NA,NA,NA,""
"31","R","Peter Lake",2009,138,2009-05-18,"-1",NA,313.06,5.94,NA,NA,NA,""
"32","L","Paul Lake",2009,139,2009-05-19,"-1",NA,336.46,4.24,NA,NA,NA,""
"33","L","Paul Lake",2009,146,2009-05-26,"-1",NA,232.58,8.01,NA,NA,NA,""
"34","R","Peter Lake",2009,147,2009-05-27,"-1",NA,345.19,7.02,NA,NA,NA,""
"35","R","Peter Lake",2009,152,2009-06-01,"-1",NA,377.71,5.13,NA,NA,NA,""
"36","L","Paul Lake",2009,153,2009-06-02,"-1",NA,222.91,3.79,NA,NA,NA,""
"37","R","Peter Lake",2009,159,2009-06-08,"-1",NA,321.09,1.08,NA,NA,NA,""
"38","L","Paul Lake",2009,160,2009-06-09,"-1",NA,305.96,1.46,NA,NA,NA,""
"39","R","Peter Lake",2009,166,2009-06-15,"-1",NA,359.23,7.15,NA,NA,NA,""
"40","L","Paul Lake",2009,167,2009-06-16,"-1",NA,255.54,1.7,NA,NA,NA,""
"41","R","Peter Lake",2009,173,2009-06-22,"-1",NA,315.62,9.8,NA,NA,NA,""
"42","L","Paul Lake",2009,174,2009-06-23,"-1",NA,256.04,5.7,NA,NA,NA,""
"43","R","Peter Lake",2009,180,2009-06-29,"-1",NA,310.29,7.93,NA,NA,NA,""
"44","L","Paul Lake",2009,181,2009-06-30,"-1",NA,260.32,4.36,NA,NA,NA,""
"45","R","Peter Lake",2009,187,2009-07-06,"-1",NA,372.52,6.42,NA,NA,NA,""
"46","L","Paul Lake",2009,188,2009-07-07,"-1",NA,396.73,4.18,NA,NA,NA,""
"47","R","Peter Lake",2009,194,2009-07-13,"-1",NA,393.93,3.53,NA,NA,NA,""
"48","L","Paul Lake",2009,195,2009-07-14,"-1",NA,341.86,-0.64,NA,NA,NA,""
"49","R","Peter Lake",2009,201,2009-07-20,"-1",NA,343.45,3.38,NA,NA,NA,""
"50","L","Paul Lake",2009,202,2009-07-21,"-1",NA,246.45,6.02,NA,NA,NA,""
