"year","lake","doyCat","mean_chl"
2008,"L",136,4.47853
2008,"L",137,3.90931
2008,"L",138,3.49532
2008,"L",139,4.37033
2008,"L",140,2.46978
2008,"L",141,2.79438
2008,"L",142,2.99666
2008,"L",143,1.86292
2008,"L",144,1.5257
2008,"L",145,2.72365
2008,"L",146,1.90656
2008,"L",147,3.15742
2008,"L",148,2.07805
2008,"L",149,1.6939
2008,"L",150,4.32254
2008,"L",151,2.93549
2008,"L",152,5.06398
2008,"L",153,2.74887
2008,"L",154,4.912902
2008,"L",155,6.86966
2008,"L",156,8.81874
2008,"L",157,3.11203
2008,"L",158,5.38678
2008,"L",159,3.81312
2008,"L",160,10.23853
2008,"L",161,2.18901
2008,"L",162,2.69339
2008,"L",163,7.60101
2008,"L",164,3.95939
2008,"L",165,3.60128
2008,"L",166,12.09827
2008,"L",167,4.78657
2008,"L",168,5.11946
2008,"L",169,5.23043
2008,"L",170,6.84949
2008,"L",171,4.61004
2008,"L",172,7.59597
2008,"L",173,6.19379
2008,"L",174,4.56464
2008,"L",175,4.05017
2008,"L",176,6.21901
2008,"L",177,8.20627
2008,"L",178,6.07778
2008,"L",179,5.28591
2008,"L",180,5.20016
2008,"L",181,6.37032
2008,"L",182,4.09053
2008,"L",183,5.98195
2008,"L",184,5.44731
2008,"L",185,3.92408
2008,"L",186,6.1484
2008,"L",187,4.24688
2008,"L",188,5.10937
2008,"L",189,6.91001
2008,"L",190,4.89753
2008,"L",191,5.28086
2008,"L",192,4.38811
2008,"L",193,3.80807
2008,"L",194,4.07539
2008,"L",195,4.5596
2008,"L",196,4.39315
2008,"L",197,4.18131
2008,"L",198,4.57473
2008,"L",199,4.2721
2008,"L",200,4.41837
2008,"L",201,8.31723
2008,"L",202,5.26573
2008,"L",203,6.10805
2008,"L",204,5.46244
2008,"L",205,6.72844
2008,"L",206,6.77887
2008,"L",207,6.36528
2008,"L",208,6.74357
2008,"L",209,5.64906
2008,"L",210,4.89753
2008,"L",211,6.06265
2008,"L",212,6.25432
2008,"L",213,5.02867
2008,"L",214,4.08548
2008,"L",215,3.68702
2008,"L",216,3.6618
2008,"L",217,3.69206
2008,"L",218,5.20521
2008,"L",219,3.58614
2008,"L",220,4.23175
2008,"L",221,4.26201
2008,"L",222,4.33767
2008,"L",223,3.27847
2008,"L",224,2.648
2008,"L",225,3.0162
2008,"L",226,3.18768
2008,"L",227,4.18636
2008,"L",228,2.50173
2008,"L",229,3.13725
2008,"L",230,2.95063
2008,"L",231,2.42103
2008,"L",232,3.14733
2008,"L",233,1.94186
2008,"L",234,3.35413
2008,"L",235,5.26069
2008,"L",236,3.08681
2008,"L",237,5.58854
2008,"L",238,4.70083
2008,"L",239,3.46005
2008,"L",240,2.73879
2009,"L",138,2.66817
2009,"L",139,2.83153
2009,"L",140,2.32015
2009,"L",141,2.28448
2009,"L",142,2.74383
2009,"L",143,2.29461
2009,"L",144,2.08814
2009,"L",145,2.02614
2009,"L",146,2.33024
2009,"L",147,2.9683
2009,"L",148,2.65425
2009,"L",149,2.14265
2009,"L",150,2.15278
2009,"L",151,2.83153
2009,"L",152,3.03921
2009,"L",153,2.66438
2009,"L",154,2.38072
2009,"L",155,1.90457
2009,"L",156,2.07173
2009,"L",157,1.9451
2009,"L",158,2.53703
2009,"L",159,2.76062
2009,"L",160,3.41466
2009,"L",161,2.62892
2009,"L",162,2.24954
2009,"L",163,2.2085
2009,"L",164,2.59252
2009,"L",165,2.49216
2009,"L",166,2.81949
2009,"L",167,2.75555
2009,"L",168,2.47651
2009,"L",169,2.35033
2009,"L",170,2.85984
2009,"L",171,2.83153
2009,"L",172,3.10194
2009,"L",173,2.43137
2009,"L",174,2.09822
2009,"L",175,2.08186
2009,"L",176,1.94691
2009,"L",177,1.58823
2009,"L",178,1.90151
2009,"L",179,2.24395
2009,"L",180,2.46642
2009,"L",181,3.01389
2009,"L",182,2.94558
2009,"L",183,3.28235
2009,"L",184,3.03637
2009,"L",185,2.83153
2009,"L",186,2.54712
2009,"L",187,2.26421
2009,"L",188,2.14362
2009,"L",189,2.15278
2009,"L",190,1.72916
2009,"L",191,2.66944
2009,"L",192,2.05283
2009,"L",193,2.26928
2009,"L",194,2.4866
2009,"L",195,2.9683
2009,"L",196,2.71357
2009,"L",197,2.8366
2009,"L",198,3.97956
2009,"L",199,3.78889
2009,"L",200,3.55084
2009,"L",201,2.81634
2009,"L",202,2.88001
2009,"L",203,2.46176
2009,"L",204,2.65304
2009,"L",205,2.99363
2009,"L",206,3.67693
2009,"L",207,2.87206
2009,"L",208,2.25962
2009,"L",209,2.90245
2009,"L",210,2.79931
2009,"L",211,3.20131
2009,"L",212,2.52695
2009,"L",213,3.28235
2009,"L",214,2.63791
2009,"L",215,2.69983
2009,"L",216,2.88001
2009,"L",217,2.37059
2009,"L",218,1.79559
2009,"L",219,2.07173
2009,"L",220,2.05787
2009,"L",221,2.14265
2009,"L",222,2.19405
2009,"L",223,1.78807
2009,"L",224,1.6939
2009,"L",225,1.91977
2009,"L",226,2.93045
2009,"L",227,1.82859
2009,"L",228,2.62278
2009,"L",229,2.81127
2009,"L",230,2.99602
2009,"L",231,2.64918
2009,"L",232,3.85347
2009,"L",233,4.33088
2009,"L",234,4.20653
2009,"L",235,3.56601
2009,"L",236,3.8686
2009,"L",237,4.59428
2009,"L",238,3.27343
2009,"L",239,2.60866
2009,"L",240,4.08044
2009,"L",241,4.10294
2009,"L",242,3.24317
2009,"L",243,3.16078
2009,"L",244,2.14866
2009,"L",245,3.24183
2009,"L",246,2.90019
2009,"L",247,2.42631
2010,"L",137,4.08044
2010,"L",138,7.21307
2010,"L",139,4.3175
2010,"L",140,1.64419
2010,"L",141,2.22936
2010,"L",142,4.61508
2010,"L",143,5.26069
2010,"L",144,2.50677
2010,"L",145,4.2368
2010,"L",146,3.11203
2010,"L",147,3.43987
2010,"L",148,4.04513
2010,"L",149,2.86992
2010,"L",150,3.23812
2010,"L",151,3.65171
2010,"L",152,4.06026
2010,"L",153,4.92275
2010,"L",154,5.46748
2010,"L",155,5.09424
2010,"L",156,4.69578
2010,"L",157,4.20653
2010,"L",158,7.10168
2010,"L",159,6.60234
2010,"L",160,8.49878
2010,"L",161,4.5142
2010,"L",162,6.10805
2010,"L",163,6.46111
2010,"L",164,8.99871
2010,"L",165,4.02496
2010,"L",166,5.43218
2010,"L",167,6.50146
2010,"L",168,3.27343
2010,"L",169,3.74755
2010,"L",170,3.87364
2010,"L",171,4.30741
2010,"L",172,3.33395
2010,"L",173,4.01991
2010,"L",174,3.37431
2010,"L",175,3.55084
2010,"L",176,3.76268
2010,"L",177,3.77781
2010,"L",178,3.00611
2010,"L",179,4.3175
2010,"L",180,2.57234
2010,"L",181,2.37563
2010,"L",182,2.04274
2010,"L",183,2.30502
2010,"L",184,2.79427
2010,"L",185,4.10061
2010,"L",186,2.21423
2010,"L",187,1.93178
2010,"L",188,1.54764
2010,"L",189,1.93682
2010,"L",190,1.80568
2010,"L",191,2.33024
2010,"L",192,3.48527
2010,"L",193,2.0377
2010,"L",194,1.58706
2010,"L",195,2.7287
2010,"L",196,2.43111
2010,"L",197,2.28989
2010,"L",198,2.1537
2010,"L",199,2.09318
2010,"L",200,3.24317
2010,"L",201,4.19645
2010,"L",202,2.4412
2010,"L",203,3.85851
2010,"L",204,3.43483
2010,"L",205,3.40961
2010,"L",206,2.63287
2010,"L",207,2.74887
2010,"L",208,2.88506
2010,"L",209,2.67322
2010,"L",210,2.60765
2010,"L",211,3.339
2010,"L",212,4.75126
2010,"L",213,3.96443
2010,"L",214,7.02098
2010,"L",215,3.52562
2010,"L",216,3.32891
2010,"L",217,3.88373
2010,"L",218,3.2583
2010,"L",219,3.77781
2010,"L",220,4.38307
2010,"L",221,2.97584
2010,"L",222,2.84471
2010,"L",223,4.2721
2010,"L",224,2.09822
2010,"L",225,2.87497
2010,"L",226,2.98593
2010,"L",227,5.24556
2010,"L",228,4.55456
2010,"L",229,4.36289
2010,"L",230,4.68569
2010,"L",231,3.40898
