"","lake_year","lake","year","date_start","date_end","percentChange","averageSlope","variable","event_no","index_start","index_peak","index_end","duration","date_peak","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline"
"1","L_2008","L",2008,2008-05-15,2008-05-23,-29.7358548422119,-0.0868525310013592,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","L_2008","L",2008,2008-06-14,2008-06-22,17.5859865329674,0.0536652375467835,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","L_2008","L",2008,2008-06-23,2008-07-01,17.9183366378469,0.0369252941924271,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","L_2008","L",2008,2008-07-08,2008-07-16,21.8831089795762,0.0627468705979207,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","L_2008","L",2008,2008-07-14,2008-07-22,-29.4397422462806,-0.094686848442151,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","R_2008","R",2008,2008-05-15,2008-05-23,-31.4161368988505,-0.0917603014417793,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","R_2008","R",2008,2008-06-14,2008-06-22,17.0662925528826,0.0520793440945965,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","R_2008","R",2008,2008-06-23,2008-07-01,5.06767881511672,0.0104432422999393,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","R_2008","R",2008,2008-07-08,2008-07-16,25.7906700217794,0.073951276118975,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","R_2008","R",2008,2008-07-14,2008-07-22,-13.6222480007562,-0.0438131462258964,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","L_2014","L",2014,2014-05-18,2014-05-26,-3.69391254483097,-0.0204977789970713,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","L_2014","L",2014,2014-06-17,2014-06-25,14.4793701817107,0.0615372705295844,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","L_2014","L",2014,2014-06-26,2014-07-04,-13.0454368991038,-0.0498402277388741,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","L_2014","L",2014,2014-07-11,2014-07-19,7.88490334863828,0.0404214265809242,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","L_2014","L",2014,2014-07-17,2014-07-25,-19.3143322465217,-0.0669148452808545,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","L_2015","L",2015,2015-05-11,2015-05-19,-13.6512748941314,-0.0537529752619389,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","L_2015","L",2015,2015-06-10,2015-06-18,-8.65039327182881,-0.0280010008144425,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","L_2015","L",2015,2015-06-19,2015-06-27,-3.11941886310878,-0.0137947167096733,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","L_2015","L",2015,2015-07-04,2015-07-12,6.40404247892312,0.0270399865849335,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","L_2015","L",2015,2015-07-10,2015-07-18,0.990897514356681,0.00429024643716341,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","R_2009","R",2009,2009-06-20,2009-06-27,-186.298441391745,-0.352470799640972,"heatwave",1,404,408,411,8,"2009-06-24",3.3331,4.8552,1.0487,26.6648,1.4997,3.0373,1.0635,11.9979,25.1808,26.784,1.2573,201.4466,0.7544,1.0218
"22","R_2010","R",2010,2010-05-24,2010-06-03,106.390938409088,0.293275096633834,"heatwave",2,742,744,752,11,"2010-05-26",5.0353,6.1623,0.8025,55.3878,2.2111,3.1998,0.7529,24.3222,22.6249,23.467,0.7488,248.8734,1.1051,0.3742
"23","R_2010","R",2010,2010-08-09,2010-08-15,-7.1502541376883,-0.022921076535168,"heatwave",3,819,823,825,7,"2010-08-13",2.9954,3.7131,0.5925,20.9678,1.2555,1.9758,0.5951,8.7886,26.021,26.6784,0.5505,182.1471,0.4547,0.8028
"24","R_2011","R",2011,2011-07-18,2011-07-24,112.561067043773,0.155731063035998,"heatwave",4,1162,1165,1168,7,"2011-07-21",2.95,3.7545,0.6201,20.65,1.0812,1.892,0.622,7.5682,26.7932,27.6044,0.635,187.5525,0.5095,0.5628
"25","R_2013","R",2013,2013-07-15,2013-07-20,50.7933814898341,0.201283187326483,"heatwave",5,1890,1893,1895,6,"2013-07-18",3.7574,4.7735,0.925,22.5445,1.8686,2.8859,0.928,11.2118,27.6261,28.6459,0.9291,165.7569,0.791,0.9758
"26","R_2014","R",2014,2014-05-29,2014-06-02,114.021294492194,0.440070345815237,"heatwave",6,2208,2210,2212,5,"2014-05-31",4.2232,4.7762,0.6575,21.1162,1.4945,2.0528,0.7012,7.4725,22.1963,22.7979,0.9064,110.9813,0.7419,0.5287
"27","R_2018","R",2018,2018-05-24,2018-06-01,0.926586913052056,0.0025358844087339,"heatwave",7,3664,3669,3672,9,"2018-05-29",5.3913,7.1046,1.3845,48.5213,2.5275,4.2967,1.4573,22.7479,22.7811,24.7125,1.6932,205.03,0.7419,1.0933
"28","R_2018","R",2018,2018-06-18,2018-06-24,25.5977758056144,0.0547501291907339,"heatwave",8,3689,3694,3695,7,"2018-06-23",2.2207,2.5401,0.1721,15.5446,0.3595,0.7154,0.2094,2.5164,23.6908,24.3131,0.4767,165.8353,0.223,0.3529
"29","R_2018","R",2018,2018-06-29,2018-07-11,18.6831692095852,0.0405239622819538,"heatwave",9,3700,3701,3712,13,"2018-06-30",2.5448,3.7291,0.47,33.0821,0.6048,1.8413,0.488,7.8619,25.8616,26.5259,0.3607,336.2008,1.0047,0.1944
"30","R_2018","R",2018,2018-08-11,2018-08-20,NA,NA,"heatwave",10,3743,3746,3752,10,"2018-08-14",2.3522,3.1582,0.463,23.5216,0.64,1.4271,0.4492,6.3997,25.141,26.0607,0.5941,251.4099,0.4292,0.2694
"31","R_2019","R",2019,2019-08-03,2019-08-07,21.8902866147862,0.13634340897825,"heatwave",11,4100,4102,4104,5,"2019-08-05",2.1077,2.5526,0.3152,10.5386,0.3071,0.7523,0.3106,1.5353,25.5498,26.0002,0.3472,127.749,0.3879,0.3865
"32","L_2009","L",2009,2009-06-20,2009-06-27,-25.042870534815,-0.0473803244770609,"heatwave",1,404,408,411,8,"2009-06-24",3.5411,5.0696,1.0138,28.3288,1.6927,3.239,1.0293,13.5419,25.3741,26.9836,1.2089,202.9926,0.7518,1.0473
"33","L_2010","L",2010,2010-05-24,2010-06-03,9.9603486615631,0.0274564945089071,"heatwave",2,742,744,752,11,"2010-05-26",5.3094,6.3717,0.8702,58.4035,2.4435,3.4196,0.833,26.8785,22.922,24.0045,0.8465,252.1421,1.1087,0.3963
"34","L_2010","L",2010,2010-08-09,2010-08-15,-13.0055411643085,-0.0416909663164462,"heatwave",3,819,823,825,7,"2010-08-13",2.9706,3.8308,0.6679,20.7943,1.2279,2.0842,0.667,8.5953,25.8773,26.6752,0.617,181.1413,0.5189,0.89
"35","L_2011","L",2011,2011-07-18,2011-07-24,47.5835692754032,0.0658330630734326,"heatwave",4,1162,1165,1168,7,"2011-07-21",2.9583,3.9131,0.6704,20.7079,1.0547,2.0163,0.6723,7.3829,26.7635,27.7262,0.6873,187.3444,0.5744,0.6057
"36","L_2013","L",2013,2013-07-15,2013-07-20,-2.0520473207038,-0.00813181979897711,"heatwave",5,1890,1893,1895,6,"2013-07-18",3.6594,4.5663,0.8176,21.9566,1.7316,2.6372,0.8181,10.3895,27.5016,28.4115,0.8212,165.0094,0.693,0.9129
"37","L_2018","L",2018,2018-05-24,2018-06-01,-37.5212124883789,-0.102688108806396,"heatwave",6,3664,3670,3672,9,"2018-05-30",5.3608,7.0823,1.4284,48.247,2.4548,4.2858,1.5055,22.093,22.7738,24.8707,1.7408,204.9641,0.6235,1.5577
"38","L_2018","L",2018,2018-06-18,2018-06-24,17.900868442257,0.0382875007298462,"heatwave",7,3689,3694,3695,7,"2018-06-23",2.1273,2.3749,0.1173,14.8913,0.2519,0.5341,0.1471,1.7632,23.5817,24.1321,0.4142,165.0717,0.1766,0.3263
"39","L_2018","L",2018,2018-06-29,2018-07-07,19.6602867764968,0.0426433390848062,"heatwave",8,3700,3701,3708,9,"2018-06-30",2.6356,3.6314,0.4911,23.7207,0.6785,1.7283,0.5146,6.1064,25.7714,26.4201,0.4147,231.9426,1.0092,0.2054
