"lake","year","DOY","Chla","ZBgrav","LMinnCPE"
"Paul",2008,136,4.47853,0.064254,0
"Paul",2008,137,3.90931,0.00899,0
"Paul",2008,138,3.49532,0.01159,0
"Paul",2008,139,4.37033,0.012574,0.1
"Paul",2008,140,2.46978,0.010006,0
"Paul",2008,141,2.79438,0.018434,0
"Paul",2008,142,2.99666,0.018856,0.1
"Paul",2008,143,1.86292,0.013854,0.4
"Paul",2008,144,1.5257,0.014652,0
"Paul",2008,145,2.72365,0.014234,0
"Paul",2008,146,1.90656,0.013532,0.2
"Paul",2008,147,3.15742,0.017802,0
"Paul",2008,148,2.07805,0.01651,0
"Paul",2008,149,1.6939,0.021946,0.2
"Paul",2008,150,4.32254,0.01454,0
"Paul",2008,151,2.93549,0.029972,0
"Paul",2008,152,5.06398,0.01949,0
"Paul",2008,153,2.74887,0.020716,0
"Paul",2008,154,4.912902,0.021952,0
"Paul",2008,155,6.86966,0.033685,0.2
"Paul",2008,156,8.81874,0.0258,0
"Paul",2008,157,3.11203,0.03327,0
"Paul",2008,158,5.38678,0.036515,0
"Paul",2008,159,3.81312,0.02158,0
"Paul",2008,160,10.23853,0.018315,0
"Paul",2008,161,2.18901,0.025095,0
"Paul",2008,162,2.69339,0.02975,0
"Paul",2008,163,7.60101,0.02581,0
"Paul",2008,164,3.95939,0.0296,0
"Paul",2008,165,3.60128,0.040765,0
"Paul",2008,166,12.09827,0.034735,0
"Paul",2008,167,4.78657,0.043435,0
"Paul",2008,168,5.11946,0.043635,0.1
"Paul",2008,169,5.23043,0.06503,0.1
"Paul",2008,170,6.84949,0.054285,0.1
"Paul",2008,171,4.61004,0.0587,0.1
"Paul",2008,172,7.59597,0.049045,0
"Paul",2008,173,6.19379,0.03414,0
"Paul",2008,174,4.56464,0.04061,0
"Paul",2008,175,4.05017,0.042645,0.1
"Paul",2008,176,6.21901,0.06548,0
"Paul",2008,177,8.20627,0.04504,0
"Paul",2008,178,6.07778,0.041565,0
"Paul",2008,179,5.28591,0.04231,0
"Paul",2008,180,5.20016,0.05327,0
"Paul",2008,181,6.37032,0.06303,0
"Paul",2008,182,4.09053,0.039175,0.1
"Paul",2008,183,5.98195,0.04929,0
"Paul",2008,184,5.44731,0.047225,0
"Paul",2008,185,3.92408,0.037865,0
"Paul",2008,186,6.1484,0.056205,0.1
"Paul",2008,187,4.24688,0.044325,0.1
"Paul",2008,188,5.10937,0.043965,0
"Paul",2008,189,6.91001,0.054555,0.1
"Paul",2008,190,4.89753,0.044625,0
"Paul",2008,191,5.28086,0.056635,0
"Paul",2008,192,4.38811,0.05932,0.1
"Paul",2008,193,3.80807,0.04448,0
"Paul",2008,194,4.07539,0.03875,0
"Paul",2008,195,4.5596,0.05498,0
"Paul",2008,196,4.39315,0.056665,0
"Paul",2008,197,4.18131,0.06067,0
"Paul",2008,198,4.57473,0.04508,0
"Paul",2008,199,4.2721,0.0429,0
"Paul",2008,200,4.41837,0.042515,0
"Paul",2008,201,8.31723,0.0588355,0
"Paul",2008,202,5.26573,0.039775,0
"Paul",2008,203,6.10805,0.048565,0
"Paul",2008,204,5.46244,0.052215,0
"Paul",2008,205,6.72844,0.050965,0
"Paul",2008,206,6.77887,0.03871,0
"Paul",2008,207,6.36528,0.03952,0
"Paul",2008,208,6.74357,0.040375,0
"Paul",2008,209,5.64906,0.037215,0
"Paul",2008,210,4.89753,0.043785,0.2
"Paul",2008,211,6.06265,0.037225,0
"Paul",2008,212,6.25432,0.041145,0
"Paul",2008,213,5.02867,0.03276,0.3
"Paul",2008,214,4.08548,0.03845,0
"Paul",2008,215,3.68702,0.034865,0
"Paul",2008,216,3.6618,0.028385,0
"Paul",2008,217,3.69206,0.025825,0
"Paul",2008,218,5.20521,0.035125,0
"Paul",2008,219,3.58614,0.039265,0
"Paul",2008,220,4.23175,0.031605,0.4
"Paul",2008,221,4.26201,0.0292,0.2
"Paul",2008,222,4.33767,0.029395,0.2
"Paul",2008,223,3.27847,0.024875,0
"Paul",2008,224,2.648,0.03287,0
"Paul",2008,225,3.0162,0.0242,0.2
"Paul",2008,226,3.18768,0.0157,0.1
"Paul",2008,227,4.18636,0.018445,0.2
"Paul",2008,228,2.50173,0.0199625,0.2
"Paul",2008,229,3.13725,0.019975,0.1
"Paul",2008,230,2.95063,0.02393,0
"Paul",2008,231,2.42103,0.02029,0
"Paul",2008,232,3.14733,0.022925,0.1
"Paul",2008,233,1.94186,0.02367,0.2
"Paul",2008,234,3.35413,0.02496,0.1
"Paul",2008,235,5.26069,0.021075,0
"Paul",2008,236,3.08681,0.02066,0
"Paul",2008,237,5.58854,0.016875,0.1
"Paul",2008,238,4.70083,0.023605,0
"Paul",2008,239,3.46005,0.019105,0.4
"Paul",2008,240,2.73879,0.02152,0.1
"Paul",2009,138,2.66817,0.031945,0
