"lakeid","year4","daynum","sampledate","taxon_name","number_per_net","mean_length","mean_individ_biomass","net_efficiency_mean","abundance_raw","abundance","biomass","manual_chl","start.date.group","event_index","period"
"T",2015,224,2015-08-12,"Bosmina longirostris",3534.07549234136,0.2358,0.405835638822685,0.0827637966666667,49996.9407880934,604091.919434984,0.245162030031519,14.5573536213744,2014-08-15,34,"before"
"T",2015,224,2015-08-12,"Cyclopoid",7833.69256017506,0.363066666666667,0.63103241403047,0.1414484125,110824.079432361,783494.685261041,0.494410542620318,14.5573536213744,2014-08-15,34,"before"
"T",2015,224,2015-08-12,"Diaphanosoma birgei",891.384026258206,0.407,0.377237271928417,0.0986319874,12610.5043530799,127854.103780129,0.0482313333148684,14.5573536213744,2014-08-15,34,"before"
"T",2015,224,2015-08-12,"Mesocyclops edax",41.9474835886214,1.00775,7.44033434749821,0.182725419,593.435498968467,3247.68990661593,0.0241638987622178,14.5573536213744,2014-08-15,34,"before"
"T",2015,224,2015-08-12,"Nauplii",1363.2932166302,0.146866666666667,0.815817052988761,0.11984711325,19286.6537164752,160927.144538254,0.131287108803095,14.5573536213744,2014-08-15,34,"before"
"T",2015,203,2015-07-22,"Bosmina longirostris",2566.4163104242,0.229823529411765,0.378642270822755,0.0827637966666667,36307.3637187267,438686.541471213,0.166105268242041,7.42107856483171,2014-08-15,33,"before"
"T",2015,203,2015-07-22,"Cyclopoid",1826.34824071029,0.344125,0.585978469116991,0.1414484125,25837.5422503315,182664.066663396,0.107037210146101,7.42107856483171,2014-08-15,33,"before"
"T",2015,203,2015-07-22,"Diaphanosoma birgei",600.312726076948,0.410888888888889,0.418084816338722,0.0986319874,8492.68780054375,86104.8025535756,0.0359991105614936,7.42107856483171,2014-08-15,33,"before"
"T",2015,203,2015-07-22,"Mesocyclops edax",6.35251561986189,1.0835,9.85187046989845,0.182725419,89.8697121750663,491.829284983422,0.00484543840895945,7.42107856483171,2014-08-15,33,"before"
"T",2015,203,2015-07-22,"Nauplii",1200.6254521539,0.1295,0.766284648849675,0.11984711325,16985.3756010876,141725.362759937,0.108601969835591,7.42107856483171,2014-08-15,33,"before"
"T",2014,141,2014-05-21,"Bosmina longirostris",2.76271554061382,0.2465,0.439584007734818,0.0827637966666667,39.0844297462655,472.240657393704,0.00020758944079245,NA,2014-08-15,32,"before"
"T",2014,141,2014-05-21,"Cyclopoid",190.627372302353,0.393533333333333,0.750118677393643,0.1414484125,2696.82565249231,19065.7894622346,0.0143016047748771,NA,2014-08-15,32,"before"
"T",2014,141,2014-05-21,"Diaphanosoma birgei",4.14407331092072,0.354666666666667,0.217995258533623,0.0986319874,58.6266446193982,594.397884143194,0.000129575920425634,NA,2014-08-15,32,"before"
"T",2014,141,2014-05-21,"Mesocyclops edax",5.52543108122763,1.03,7.97728306827322,0.182725419,78.168859492531,427.794118192888,0.003412634775767,NA,2014-08-15,32,"before"
"T",2014,141,2014-05-21,"Nauplii",512.483732783863,0.155066666666667,0.832815357858304,0.11984711325,7250.16171793225,60495.088461651,0.0503812387458596,NA,2014-08-15,32,"before"
"T",2013,233,2013-08-21,"Bosmina longirostris",74.8115510965107,0.219666666666667,0.335593224274402,0.0827637966666667,1058.36694732281,12787.8008253465,0.00429149931035688,21.64699125,2014-08-15,31,"before"
"T",2013,233,2013-08-21,"Cyclopoid",641.716860516736,0.392631578947368,0.850718113148338,0.1414484125,9078.43648148008,64181.9609073384,0.0546007566812513,21.64699125,2014-08-15,31,"before"
"T",2013,233,2013-08-21,"Diaphanosoma birgei",18.2872680458137,0.457444444444444,0.538283314072092,0.0986319874,258.711920456686,2623.00220523272,0.00141191831985107,21.64699125,2014-08-15,31,"before"
"T",2013,233,2013-08-21,"Mesocyclops edax",16.6247891325579,0.976636363636364,5.98015490143023,0.182725419,235.192654960623,1287.13704008868,0.0076972788790987,21.64699125,2014-08-15,31,"before"
"T",2013,233,2013-08-21,"Nauplii",2490.39341205718,0.163227272727273,0.853200825802485,0.11984711325,35231.8597131015,293973.369551323,0.250818321665128,21.64699125,2014-08-15,31,"before"
"T",2013,191,2013-07-10,"Bosmina longirostris",983.394464739025,0.224789473684211,0.357356743664801,0.0827637966666667,13912.1857842155,168095.065046945,0.0600699050712993,10.93118795,2014-08-15,30,"before"
"T",2013,191,2013-07-10,"Cyclopoid",613.796545105566,0.374,0.696358980916911,0.1414484125,8683.44481833585,61389.4823198235,0.042749117347249,10.93118795,2014-08-15,30,"before"
"T",2013,191,2013-07-10,"Diaphanosoma birgei",65.9996285059748,0.373555555555556,0.314843844025754,0.0986319874,933.70374390708,9466.54091152461,0.00298048213021147,10.93118795,2014-08-15,30,"before"
