"code.name","n","slope","SE","p_value","marginal_R2","conditional_R2","include","table"
"heatwave duration",29,5.16,10.53,0.63,0.01,0.01,TRUE,"heatwave"
"mean intensity",29,60.81,38.66,0.13,0.08,0.11,TRUE,"heatwave"
"peak intensity",29,31.75,25.39,0.22,0.05,0.07,TRUE,"heatwave"
"intensity variability",29,87.47,89.84,0.34,0.03,0.04,TRUE,"heatwave"
"cumulative intensity",29,1.94,2.13,0.37,0.03,0.05,TRUE,"heatwave"
"mean intensity relative to threshold",29,27.81,54.37,0.61,0.01,0.01,TRUE,"heatwave"
"max intensity relative to threshold",29,16.03,31.46,0.61,0.01,0.01,TRUE,"heatwave"
"intensity variability relative to threshold",29,78.8,95.44,0.42,0.02,0.03,TRUE,"heatwave"
"cumulative intensity relative to threshold",29,2.02,3.97,0.62,0.01,0.01,TRUE,"heatwave"
"absolute mean intensity",29,-47.7,14.82,0,0.26,0.29,TRUE,"heatwave"
"absolute max intensity",29,-54.24,17.64,0.01,0.25,0.26,TRUE,"heatwave"
"absolute intensity variabiliy",29,95.14,59.12,0.12,0.08,0.11,TRUE,"heatwave"
"absolute cumulative intensity",29,-0.04,0.48,0.94,0,0,TRUE,"heatwave"
"onset rate of heatwave",29,-246.31,157.21,0.13,0.08,0.08,TRUE,"heatwave"
"decline rate of heatwave",29,72.17,97.12,0.46,0.02,0.02,TRUE,"heatwave"
