"event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","lake","year","lake_year"
1,231,233,240,10,2010-05-24,2010-05-26,2010-06-02,4.8287,5.8361,0.665,48.2868,1.4053,2.4422,0.669,14.0532,22.6736,23.467,0.7707,226.7362,1.0628,0.3132,"R",2010,"R_2010"
2,308,312,314,7,2010-08-09,2010-08-13,2010-08-15,2.9709,3.6881,0.5912,20.796,1.1306,1.873,0.6145,7.9143,26.021,26.6784,0.5505,182.1471,0.4537,0.801,"R",2010,"R_2010"
3,400,403,405,6,2011-07-18,2011-07-21,2011-07-23,3.1851,3.8141,0.4608,19.1106,0.8423,1.489,0.4753,5.0537,26.972,27.6044,0.4642,161.8319,0.4996,0.6024,"R",2011,"R_2011"
4,507,510,512,6,2013-07-15,2013-07-18,2013-07-20,3.8525,4.862,0.919,23.1152,1.4136,2.4334,0.9281,8.4819,27.6261,28.6459,0.9291,165.7569,0.7795,0.9854,"R",2013,"R_2013"
5,549,552,555,7,2013-08-26,2013-08-29,2013-09-01,3.3138,4.256,0.5538,23.1966,1.4742,2.4169,0.5628,10.3197,24.8171,25.7684,0.6967,173.7195,0.577,0.6955,"R",2013,"R_2013"
6,802,806,809,8,2018-05-25,2018-05-29,2018-06-01,5.2605,6.7143,1.2465,42.0836,1.8284,3.2602,1.2253,14.6268,23.1098,24.7125,1.4713,184.8787,0.751,1.0909,"R",2018,"R_2018"
7,880,883,888,9,2018-08-11,2018-08-14,2018-08-19,2.3979,3.1351,0.4346,21.5813,0.6077,1.3365,0.4334,5.4696,25.2461,26.0607,0.5222,227.2153,0.4302,0.2376,"R",2018,"R_2018"
1,231,233,240,10,2010-05-24,2010-05-26,2010-06-02,5.1198,6.0367,0.6783,51.1978,1.6964,2.6428,0.6743,16.9642,22.9954,24.0045,0.8547,229.9536,1.0689,0.3251,"L",2010,"L_2010"
2,309,312,314,6,2010-08-10,2010-08-13,2010-08-15,2.9619,3.6542,0.5482,17.7713,1.1322,1.8392,0.5571,6.7934,26.0121,26.6752,0.5516,156.0727,0.436,0.8906,"L",2010,"L_2010"
3,400,403,405,6,2011-07-18,2011-07-21,2011-07-23,3.1314,3.9052,0.524,18.7883,0.7885,1.5802,0.5424,4.7313,26.9489,27.7262,0.5273,161.6935,0.5615,0.6687,"L",2011,"L_2011"
4,507,510,512,6,2013-07-15,2013-07-18,2013-07-20,3.6973,4.597,0.8115,22.1839,1.2584,2.1683,0.8194,7.5505,27.5016,28.4115,0.8212,165.0094,0.6797,0.9256,"L",2013,"L_2013"
5,549,552,555,7,2013-08-26,2013-08-29,2013-09-01,3.1657,3.9818,0.4956,22.1599,1.3261,2.1427,0.5043,9.283,24.6996,25.5248,0.6411,172.8971,0.5283,0.6437,"L",2013,"L_2013"
6,802,807,809,8,2018-05-25,2018-05-30,2018-06-01,5.2217,6.6744,1.3045,41.774,1.7896,3.215,1.2828,14.3172,23.1018,24.8707,1.5352,184.8141,0.6138,1.55,"L",2018,"L_2018"
7,881,883,887,7,2018-08-12,2018-08-14,2018-08-18,2.3354,2.9036,0.3855,16.3475,0.549,1.1049,0.3706,3.8433,25.2178,25.8598,0.4929,176.5247,0.3802,0.2571,"L",2018,"L_2018"
1,60,63,65,6,2013-07-15,2013-07-18,2013-07-20,4.0376,5.0825,0.9259,24.2256,1.5987,2.6539,0.9369,9.5921,27.4355,28.4907,0.9365,164.6129,0.7953,1.0201,"T",2013,"T_2013"
2,102,105,108,7,2013-08-26,2013-08-29,2013-09-01,3.4311,4.5391,0.6781,24.0178,1.5915,2.7,0.687,11.1408,24.5587,25.6758,0.8135,171.9107,0.6653,0.8046,"T",2013,"T_2013"
3,326,328,330,5,2015-08-14,2015-08-16,2015-08-18,2.5292,3.1774,0.6193,12.6459,0.7583,1.4115,0.6215,3.7917,24.9372,25.5887,0.6424,124.6862,0.7046,0.7559,"T",2015,"T_2015"
