"event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","lake","year","lake_year"
1,231,233,239,9,2010-05-24,2010-05-26,2010-06-01,4.9443,5.8361,0.5891,44.499,0.9522,1.8199,0.5823,8.5697,22.6874,23.467,0.8161,204.1869,1.0628,0.2448,"R",2010,"R_2010"
2,309,312,314,6,2010-08-10,2010-08-13,2010-08-15,3.1197,3.6881,0.483,18.7182,1.0333,1.6127,0.4857,6.1999,26.1393,26.6784,0.4961,156.8358,0.3688,0.801,"R",2010,"R_2010"
3,401,403,405,5,2011-07-19,2011-07-21,2011-07-23,3.2849,3.8141,0.4367,16.4244,0.702,1.2301,0.4207,3.5102,27.0724,27.6044,0.4402,135.3618,0.3762,0.6024,"R",2011,"R_2011"
4,508,510,512,5,2013-07-16,2013-07-18,2013-07-20,4.1222,4.862,0.7145,20.6108,1.4104,2.1465,0.6865,7.052,27.9021,28.6459,0.7127,139.5106,0.6745,0.9854,"R",2013,"R_2013"
5,549,552,555,7,2013-08-26,2013-08-29,2013-09-01,3.3138,4.256,0.5538,23.1966,1.1973,2.135,0.5605,8.381,24.8171,25.7684,0.6967,173.7195,0.577,0.6955,"R",2013,"R_2013"
6,803,806,808,6,2018-05-26,2018-05-29,2018-05-31,5.8144,6.7143,0.8295,34.8865,1.8212,2.7217,0.8378,10.9271,23.667,24.7125,1.0978,142.002,0.7898,0.8323,"R",2018,"R_2018"
7,881,883,887,7,2018-08-12,2018-08-14,2018-08-18,2.5385,3.1351,0.3845,17.7692,0.5007,1.0829,0.3695,3.5046,25.3903,26.0607,0.4831,177.732,0.4223,0.2553,"R",2018,"R_2018"
1,231,233,240,10,2010-05-24,2010-05-26,2010-06-02,5.1198,6.0367,0.6783,51.1978,1.1345,2.0205,0.6643,11.345,22.9954,24.0045,0.8547,229.9536,1.0689,0.3251,"L",2010,"L_2010"
2,309,312,314,6,2010-08-10,2010-08-13,2010-08-15,2.9619,3.6542,0.5482,17.7713,0.8755,1.5789,0.5534,5.2531,26.0121,26.6752,0.5516,156.0727,0.436,0.8906,"L",2010,"L_2010"
3,401,403,405,5,2011-07-19,2011-07-21,2011-07-23,3.2534,3.9052,0.4812,16.2669,0.6706,1.3213,0.469,3.3529,27.0715,27.7262,0.4846,135.3576,0.4583,0.6687,"L",2011,"L_2011"
4,508,510,512,5,2013-07-16,2013-07-18,2013-07-20,3.9255,4.597,0.6577,19.6277,1.2138,1.8814,0.6306,6.0689,27.7361,28.4115,0.656,138.6807,0.5847,0.9256,"L",2013,"L_2013"
5,549,552,555,7,2013-08-26,2013-08-29,2013-09-01,3.1657,3.9818,0.4956,22.1599,1.0491,1.8607,0.5021,7.344,24.6996,25.5248,0.6411,172.8971,0.5283,0.6437,"L",2013,"L_2013"
6,803,807,808,6,2018-05-26,2018-05-30,2018-05-31,5.7846,6.6744,0.9226,34.7077,1.7914,2.6918,0.9317,10.7483,23.6678,24.8707,1.2019,142.0069,0.6345,1.3815,"L",2018,"L_2018"
7,881,883,886,6,2018-08-12,2018-08-14,2018-08-17,2.4238,2.9036,0.3355,14.5429,0.3784,0.8514,0.3271,2.2702,25.3423,25.8598,0.4018,152.0537,0.3802,0.2854,"L",2018,"L_2018"
1,61,63,65,5,2013-07-16,2013-07-18,2013-07-20,4.2932,5.0825,0.7626,21.4662,1.5814,2.367,0.7433,7.9072,27.6975,28.4907,0.7626,138.4873,0.7152,1.0201,"T",2013,"T_2013"
2,102,105,108,7,2013-08-26,2013-08-29,2013-09-01,3.4311,4.5391,0.6781,24.0178,1.3146,2.4181,0.6847,9.2021,24.5587,25.6758,0.8135,171.9107,0.6653,0.8046,"T",2013,"T_2013"
