"event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","lake","year","lake_year"
1,146,149,152,7,2009-06-21,2009-06-24,2009-06-27,3.2418,4.5686,0.9825,22.6924,1.2866,2.6106,0.9884,9.0065,25.4475,26.784,1.0864,178.1328,0.7806,0.9861,"R",2009,"R_2009"
2,226,233,241,16,2010-05-19,2010-05-26,2010-06-03,3.9942,5.858,1.2778,63.9079,1.8563,3.7337,1.1825,29.7011,21.3792,23.467,2.0311,342.0673,0.5888,0.38,"R",2010,"R_2010"
3,308,312,314,7,2010-08-09,2010-08-13,2010-08-15,2.858,3.5744,0.5904,20.0063,1.4509,2.1866,0.6086,10.1563,26.021,26.6784,0.5505,182.1471,0.4528,0.8018,"R",2010,"R_2010"
4,400,403,406,7,2011-07-18,2011-07-21,2011-07-24,2.9187,3.724,0.6292,20.4309,1.1621,1.9591,0.6132,8.1345,26.7932,27.6044,0.635,187.5525,0.4983,0.5742,"R",2011,"R_2011"
5,507,510,512,6,2013-07-15,2013-07-18,2013-07-20,3.767,4.7758,0.9184,22.602,1.9818,2.9898,0.9167,11.8908,27.6261,28.6459,0.9291,165.7569,0.7782,0.9867,"R",2013,"R_2013"
6,548,552,555,8,2013-08-25,2013-08-29,2013-09-01,2.972,4.1318,0.8013,23.7762,1.5858,2.742,0.7957,12.6865,24.6592,25.7684,0.7844,197.2739,0.6496,0.6959,"R",2013,"R_2013"
7,571,576,578,8,2014-05-26,2014-05-31,2014-06-02,3.475,4.3836,0.7514,27.8004,1.216,2.0606,0.6914,9.7281,21.5178,22.7979,1.1814,172.1428,0.4079,0.5176,"R",2014,"R_2014"
8,773,775,777,5,2015-08-14,2015-08-16,2015-08-18,2.0349,2.6899,0.5149,10.1745,0.6859,1.3448,0.5155,3.4296,24.9348,25.593,0.5459,124.6738,0.6449,0.6659,"R",2015,"R_2015"
9,800,806,809,10,2018-05-23,2018-05-29,2018-06-01,4.7871,6.7283,1.5207,47.8708,2.6,4.4731,1.4455,25.9995,22.4049,24.7125,1.9909,224.0486,0.7504,1.0934,"R",2018,"R_2018"
10,837,838,849,13,2018-06-29,2018-06-30,2018-07-11,2.5811,3.6609,0.4286,33.5549,0.744,1.7975,0.419,9.6717,25.8616,26.5259,0.3607,336.2008,1.0421,0.1818,"R",2018,"R_2018"
11,880,883,889,10,2018-08-11,2018-08-14,2018-08-20,2.2147,3.0206,0.4631,22.1471,0.8532,1.6471,0.4557,8.5318,25.141,26.0607,0.5941,251.4099,0.4293,0.2693,"R",2018,"R_2018"
12,957,959,961,5,2019-07-15,2019-07-17,2019-07-19,2.2907,2.5905,0.297,11.4534,0.5036,0.8014,0.2949,2.5182,26.1457,26.4501,0.2859,130.7284,0.2584,0.273,"R",2019,"R_2019"
13,976,978,980,5,2019-08-03,2019-08-05,2019-08-07,1.9996,2.447,0.3191,9.9979,0.4759,0.9234,0.3143,2.3794,25.5498,26.0002,0.3472,127.749,0.3859,0.3937,"R",2019,"R_2019"
1,146,149,152,7,2009-06-21,2009-06-24,2009-06-27,3.4389,4.7838,0.9574,24.0722,1.4646,2.8063,0.9613,10.2524,25.629,26.9836,1.0482,179.4028,0.7658,1.0082,"L",2009,"L_2009"
2,226,233,241,16,2010-05-19,2010-05-26,2010-06-03,4.2907,6.0486,1.2616,68.6506,2.1358,3.9087,1.1667,34.1722,21.7151,24.0045,1.9955,347.4412,0.5533,0.4004,"L",2010,"L_2010"
3,308,312,314,7,2010-08-09,2010-08-13,2010-08-15,2.8768,3.7371,0.6673,20.1374,1.4542,2.3339,0.687,10.1792,25.8773,26.6752,0.617,181.1413,0.5183,0.8879,"L",2010,"L_2010"
4,400,403,406,7,2011-07-18,2011-07-21,2011-07-24,2.9782,3.935,0.6794,20.8473,1.2062,2.155,0.6652,8.4436,26.7635,27.7262,0.6873,187.3444,0.5634,0.6189,"L",2011,"L_2011"
5,506,510,512,7,2013-07-14,2013-07-18,2013-07-20,3.4601,4.6211,1.0123,24.2204,1.6583,2.8187,1.0119,11.6084,27.2339,28.4115,1.0312,190.6375,0.6799,0.9237,"L",2013,"L_2013"
6,548,552,555,8,2013-08-25,2013-08-29,2013-09-01,3.0889,4.1146,0.7486,24.7113,1.6831,2.7044,0.7418,13.4647,24.5517,25.5248,0.7262,196.4132,0.6116,0.6399,"L",2013,"L_2013"
7,574,577,578,5,2014-05-29,2014-06-01,2014-06-02,3.7276,4.4256,0.8073,18.638,1.3926,2.0607,0.77,6.963,22.115,23.0169,1.0914,110.5752,0.6353,0.8342,"L",2014,"L_2014"
