"event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","event_name","category","p_moderate","p_strong","p_severe","p_extreme","lake","year","lake_year","averageSlope","percentChange","sdSlope","sdSlopePercent","event_group","event_group_start","start_date_avg"
1,146,149,152,7,2009-06-21,"2009-06-24",2009-06-27,3.2059,4.5326,0.983,22.4412,1.2302,2.5538,0.9888,8.6116,25.4475,26.784,1.0864,178.1328,0.7814,0.9851,"Event 2009","II Strong",71,29,0,0,"R",2009,"R_2009",0.607972857142862,101.627505930999,0.235560991919358,NA,"1",2014-08-15,2009-06-21
1,146,149,152,7,2009-06-21,"2009-06-24",2009-06-27,3.4272,4.7721,0.9569,23.9906,1.4516,2.7933,0.9609,10.161,25.629,26.9836,1.0482,179.4028,0.7645,1.0094,"Event 2009","II Strong",71,29,0,0,"L",2009,"L_2009",0.0385590000000011,18.8025720467463,0.168512956202558,NA,"1",2014-08-15,2009-06-21
2,226,233,241,16,2010-05-19,"2010-05-26",2010-06-03,4.3216,6.0804,1.2572,69.1464,2.1642,3.9374,1.1639,34.6266,21.7151,24.0045,1.9955,347.4412,0.5515,0.4022,"Event 2010a","II Strong",44,56,0,0,"L",2010,"L_2010",0.287785285714284,59.1294673257172,0.121566433586583,NA,"2",2014-08-15,2010-05-19
2,227,233,241,15,2010-05-20,"2010-05-26",2010-06-03,4.0877,5.8093,1.1848,61.3149,1.9105,3.6662,1.1125,28.6579,21.6315,23.467,1.8244,324.4727,0.5579,0.3799,"Event 2010a","II Strong",60,40,0,0,"R",2010,"R_2010",0.438985785714283,126.749178625956,0.150560537004299,NA,"2",2014-08-15,2010-05-19
3,308,312,314,7,2010-08-09,"2010-08-13",2010-08-15,2.9202,3.6394,0.593,20.4416,1.4987,2.2374,0.6116,10.491,26.021,26.6784,0.5505,182.1471,0.4556,0.7989,"Event 2010b","II Strong",43,57,0,0,"R",2010,"R_2010",0.156033357142855,41.2884134692746,0.199291321863884,NA,"3",2014-08-15,2010-08-09
3,308,312,314,7,2010-08-09,"2010-08-13",2010-08-15,2.8165,3.6761,0.6666,19.7153,1.3949,2.2741,0.6864,9.7645,25.8773,26.6752,0.617,181.1413,0.5177,0.8885,"Event 2010b","II Strong",57,43,0,0,"L",2010,"L_2010",0.268857499999995,68.8993668456214,0.110097131355239,NA,"3",2014-08-15,2010-08-09
4,400,403,406,7,2011-07-18,"2011-07-21",2011-07-24,2.9251,3.7303,0.6274,20.4756,1.1507,1.9477,0.6113,8.0552,26.7932,27.6044,0.635,187.5525,0.5005,0.572,"Event 2011","II Strong",86,14,0,0,"R",2011,"R_2011",0.124716346153843,47.7052116144734,0.153509480019505,NA,"4",2014-08-15,2011-07-18
4,400,403,406,7,2011-07-18,"2011-07-21",2011-07-24,2.9353,3.8921,0.68,20.547,1.161,2.1094,0.6655,8.1268,26.7635,27.7262,0.6873,187.3444,0.5624,0.6199,"Event 2011","II Strong",86,14,0,0,"L",2011,"L_2011",0.108844076923073,39.914247065516,0.158148367903431,NA,"4",2014-08-15,2011-07-18
5,417,419,421,5,2011-08-04,"2011-08-06",2011-08-08,2.0795,2.4715,0.3508,10.3976,0.5547,0.9453,0.3653,2.7733,25.5363,25.9316,0.3104,127.6813,0.4091,0.3055,NA,"I Moderate",100,0,0,0,"R",2011,"R_2011",0.440315461538447,62.0507406067938,0.233968450118407,NA,"5",2014-08-15,2011-08-04
6,429,430,433,5,2011-08-16,"2011-08-17",2011-08-20,1.7975,2.0479,0.2918,8.9875,0.4501,0.6968,0.2863,2.2503,24.4682,24.8451,0.4141,122.3408,0.2372,0.2624,NA,"I Moderate",100,0,0,0,"R",2011,"R_2011",-0.10653565384615,-16.1070501117832,0.184564780319055,NA,"6",2014-08-15,2011-08-16
1,50,53,54,5,2013-07-05,"2013-07-08",2013-07-09,2.679,3.2837,0.5134,13.3948,0.8291,1.436,0.519,4.1456,25.6279,26.3043,0.6158,128.1395,0.4122,0.7676,NA,"I Moderate",100,0,0,0,"T",2013,"T_2013",0.890529345807134,135.952049780905,0.316012475711004,NA,"7",2014-08-15,2013-07-05
5,506,510,512,7,2013-07-14,"2013-07-18",2013-07-20,3.4212,4.5811,1.0111,23.9482,1.6175,2.777,1.0107,11.3223,27.2339,28.4115,1.0312,190.6375,0.6789,0.9247,"Event 2013a","II Strong",43,57,0,0,"L",2013,"L_2013",0.192107472457139,77.878125162028,0.0688267768428554,NA,"8",2014-08-15,2013-07-14
2,59,63,66,8,2013-07-14,"2013-07-18",2013-07-21,3.5568,5.1495,1.2808,28.454,1.7557,3.3453,1.277,14.0453,26.883,28.4907,1.2937,215.0641,0.7948,1.0328,"Event 2013a","II Strong",50,50,0,0,"T",2013,"T_2013",0.876663902335696,91.7686391420978,0.173094697650521,NA,"8",2014-08-15,2013-07-14
7,507,510,512,6,2013-07-15,"2013-07-18",2013-07-20,3.7658,4.7756,0.9193,22.5951,1.9626,2.9714,0.9176,11.7757,27.6261,28.6459,0.9291,165.7569,0.7802,0.9845,"Event 2013a","II Strong",33,67,0,0,"R",2013,"R_2013",0.026707024635714,6.69905753807093,0.0378450595974855,NA,"8",2014-08-15,2013-07-14
3,100,105,108,9,2013-08-24,"2013-08-29",2013-09-01,3.1395,4.6838,1.0457,28.2554,1.7423,3.2784,1.0342,15.6808,24.2438,25.6758,0.9417,218.1939,0.5894,0.8014,"Event 2013b","III Severe",33,56,11,0,"T",2013,"T_2013",-0.764517871428576,-27.3998582233458,NA,NA,"9",2014-08-15,2013-08-24
8,548,552,555,8,2013-08-25,"2013-08-29",2013-09-01,3.0859,4.2473,0.8036,24.6872,1.6843,2.8419,0.7977,13.4741,24.6592,25.7684,0.7844,197.2739,0.653,0.6923,"Event 2013b","III Severe",25,62,12,0,"R",2013,"R_2013",0.262162270392858,68.2648743280577,NA,NA,"9",2014-08-15,2013-08-24
6,548,552,555,8,2013-08-25,"2013-08-29",2013-09-01,3.0182,4.0436,0.7481,24.1457,1.6166,2.6382,0.7416,12.9327,24.5517,25.5248,0.7262,196.4132,0.611,0.6404,"Event 2013b","II Strong",25,75,0,0,"L",2013,"L_2013",0.0547715397142832,14.0355858069555,NA,NA,"9",2014-08-15,2013-08-24
9,571,576,578,8,2014-05-26,"2014-05-31",2014-06-02,3.4264,4.335,0.7515,27.4113,1.1454,1.9885,0.6901,9.1634,21.5178,22.7979,1.1814,172.1428,0.4079,0.5175,NA,"I Moderate",100,0,0,0,"R",2014,"R_2014",0.365516498475479,219.888565138252,0.488185463641787,NA,"10",2014-08-15,2014-05-27
4,124,130,132,9,2014-05-26,"2014-06-01",2014-06-03,3.5361,4.5832,0.8634,31.8247,1.2458,2.2167,0.8171,11.2118,21.1991,22.6993,1.205,190.792,0.4133,1.0809,NA,"I Moderate",100,0,0,0,"T",2014,"T_2014",1.0514855308382,235.765391503285,0.344239200658037,NA,"10",2014-08-15,2014-05-27
7,574,577,578,5,2014-05-29,"2014-06-01",2014-06-02,3.7506,4.4468,0.805,18.7529,1.4143,2.0803,0.7675,7.0716,22.115,23.0169,1.0914,110.5752,0.6335,0.8359,NA,"I Moderate",100,0,0,0,"L",2014,"L_2014",0.0510138601168167,46.6864337319059,0.102122621864486,NA,"10",2014-08-15,2014-05-27
5,306,308,310,5,2015-07-25,"2015-07-27",2015-07-29,2.7657,3.5783,0.6879,13.8283,1.0853,1.8968,0.6908,5.4266,26.0391,26.8533,0.6863,130.1954,0.7145,0.8067,"Event 2015a","II Strong",80,20,0,0,"T",2015,"T_2015",-0.22732637544812,-19.8141104915531,0.30522531429473,NA,"11",2014-08-15,2015-07-25
10,773,775,777,5,2015-08-14,"2015-08-16",2015-08-18,2.1086,2.7636,0.5142,10.5431,0.7457,1.4046,0.5149,3.7283,24.9348,25.593,0.5459,124.6738,0.6478,0.6629,"Event 2015","II Strong",80,20,0,0,"R",2015,"R_2015",-0.0673116960348675,-13.3155168439187,0.0571650148790582,NA,"12",2014-08-15,2015-08-14
8,773,775,777,5,2015-08-14,"2015-08-16",2015-08-18,2.164,2.895,0.5696,10.8198,0.801,1.536,0.5691,4.0049,24.9502,25.6845,0.6081,124.7508,0.6679,0.733,"Event 2015","II Strong",80,20,0,0,"L",2015,"L_2015",0.0860676000964245,28.5391680769982,0.0216653084606059,NA,"12",2014-08-15,2015-08-14
6,326,328,330,5,2015-08-14,"2015-08-16",2015-08-18,2.6402,3.2884,0.619,13.201,1.2772,1.9293,0.6205,6.386,24.9372,25.5887,0.6424,124.6862,0.7067,0.7537,"Event 2015b","II Strong",40,60,0,0,"T",2015,"T_2015",1.87406646049851,59.189030232925,1.02036966887817,NA,"12",2014-08-15,2015-08-14
11,800,806,809,10,2018-05-23,"2018-05-29",2018-06-01,4.7385,6.6796,1.5206,47.3848,2.531,4.4025,1.4439,25.3095,22.4049,24.7125,1.9909,224.0486,0.7503,1.0934,"Event 2018a","II Strong",40,60,0,0,"R",2018,"R_2018",0.215699545167005,99.0556148826412,0.0951161930537393,NA,"13",2014-08-15,2018-05-23
9,800,807,809,10,2018-05-23,"2018-05-30",2018-06-01,4.7762,6.7077,1.5482,47.7622,2.5687,4.4265,1.4711,25.6871,22.4027,24.8707,2.0176,224.027,0.6313,1.5524,"Event 2018a","II Strong",40,60,0,0,"L",2018,"L_2018",0.066089216727481,27.8793505288085,0.0578981788332581,NA,"13",2014-08-15,2018-05-23
12,837,838,849,13,2018-06-29,"2018-06-30",2018-07-11,2.5584,3.6315,0.4257,33.2595,0.7035,1.7497,0.4161,9.1454,25.8616,26.5259,0.3607,336.2008,1.0433,0.1803,NA,"I Moderate",100,0,0,0,"R",2018,"R_2018",0.00379482208674683,3.53488370008169,0.12672745826285,NA,"14",2014-08-15,2018-06-29
10,837,838,849,13,2018-06-29,"2018-06-30",2018-07-11,2.5803,3.5656,0.4294,33.5442,0.7254,1.6838,0.4223,9.4302,25.8436,26.4201,0.4014,335.9667,1.0486,0.1604,NA,"I Moderate",100,0,0,0,"L",2018,"L_2018",-0.0362605017496068,-7.9457992765748,0.0629045361482842,NA,"14",2014-08-15,2018-06-29
14,957,959,961,5,2019-07-15,"2019-07-17",2019-07-19,2.2885,2.5883,0.2949,11.4424,0.4834,0.7812,0.293,2.4171,26.1457,26.4501,0.2859,130.7284,0.2604,0.2709,NA,"I Moderate",100,0,0,0,"R",2019,"R_2019",1.70363035870582,221.413626358369,0.241405884411177,NA,"16",2014-08-15,2019-07-15
12,957,958,962,6,2019-07-15,"2019-07-16",2019-07-20,2.3587,2.6966,0.3418,14.1524,0.5555,0.8892,0.3373,3.3332,26.1791,26.5054,0.3295,157.0748,0.4011,0.2611,NA,"I Moderate",100,0,0,0,"L",2019,"L_2019",-0.197535206010726,-21.1502254097813,0.295172127785049,NA,"16",2014-08-15,2019-07-15
15,976,978,980,5,2019-08-03,"2019-08-05",2019-08-07,2.0423,2.4897,0.318,10.2116,0.502,0.9492,0.3133,2.5099,25.5498,26.0002,0.3472,127.749,0.3886,0.391,NA,"I Moderate",100,0,0,0,"R",2019,"R_2019",0.218547375906771,6.01103586317526,0.816650334785528,NA,"17",2014-08-15,2019-08-03
13,976,978,980,5,2019-08-03,"2019-08-05",2019-08-07,1.9005,2.2897,0.2856,9.5024,0.3601,0.7492,0.2796,1.8007,25.3681,25.7603,0.3195,126.8403,0.364,0.3614,NA,"I Moderate",100,0,0,0,"L",2019,"L_2019",0.274154488017366,39.8976955944625,0.131274811870963,NA,"17",2014-08-15,2019-08-03
