"event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","event_name","category","p_moderate","p_strong","p_severe","p_extreme","lake","year","lake_year","averageSlope","intercept","SE","SE.percent","absoluteChange","percentChange","sdSlope","sdSlopePercent","medianSlopePercent","num.slopes.included"
1,146,149,152,7,"2009-06-21","2009-06-24","2009-06-27",3.2059,4.5326,0.983,22.4412,1.2302,2.5538,0.9888,8.6116,25.4475,26.784,1.0864,178.1328,0.7814,0.9851,"Event 2009","II Strong",71,29,0,0,"R",2009,"R_2009",0.717901190476182,-121.484876309522,0.0961699230846804,18.1589733921224,5.74320952380946,135.55536073946,NA,NA,135.55536073946,1
2,227,233,241,15,"2010-05-20","2010-05-26","2010-06-03",4.0877,5.8093,1.1848,61.3149,1.9105,3.6662,1.1125,28.6579,21.6315,23.467,1.8244,324.4727,0.5579,0.3799,"Event 2010a","II Strong",60,40,0,0,"R",2010,"R_2010",0.514582499999993,-75.152192499999,0.0896605788786871,26.2532943056068,4.11665999999995,150.673640366447,NA,NA,150.673640366447,1
3,308,312,314,7,"2010-08-09","2010-08-13","2010-08-15",2.9202,3.6394,0.593,20.4416,1.4987,2.2374,0.6116,10.491,26.021,26.6784,0.5505,182.1471,0.4556,0.7989,"Event 2010b","II Strong",43,57,0,0,"R",2010,"R_2010",0.116787857142854,-22.2881596428565,0.115331409370257,20.6697763317118,0.934302857142835,20.930801926238,NA,NA,20.930801926238,1
4,400,403,406,7,"2011-07-18","2011-07-21","2011-07-24",2.9251,3.7303,0.6274,20.4756,1.1507,1.9477,0.6113,8.0552,26.7932,27.6044,0.635,187.5525,0.5005,0.572,"Event 2011","II Strong",86,14,0,0,"R",2011,"R_2011",0.0862624999999995,-15.1606124999999,0.0794868708192671,22.7474178329912,0.690099999999996,24.6864558963461,NA,NA,24.6864558963461,1
5,417,419,421,5,"2011-08-04","2011-08-06","2011-08-08",2.0795,2.4715,0.3508,10.3976,0.5547,0.9453,0.3653,2.7733,25.5363,25.9316,0.3104,127.6813,0.4091,0.3055,NA,"I Moderate",100,0,0,0,"R",2011,"R_2011",0.37247678571428,-76.2135007142845,0.0817318663387342,13.1568025238872,2.97981428571424,59.9595204894097,NA,NA,59.9595204894097,1
6,429,430,433,5,"2011-08-16","2011-08-17","2011-08-20",1.7975,2.0479,0.2918,8.9875,0.4501,0.6968,0.2863,2.2503,24.4682,24.8451,0.4141,122.3408,0.2372,0.2624,NA,"I Moderate",100,0,0,0,"R",2011,"R_2011",-0.120808928571429,32.4981932142857,0.0473796570286841,7.03099187025428,-0.966471428571428,-17.9276644853213,NA,NA,-17.9276644853213,1
7,507,510,512,6,"2013-07-15","2013-07-18","2013-07-20",3.7658,4.7756,0.9193,22.5951,1.9626,2.9714,0.9176,11.7757,27.6261,28.6459,0.9291,165.7569,0.7802,0.9845,"Event 2013a","II Strong",33,67,0,0,"R",2013,"R_2013",0.033689674392856,-3.43837877739263,0.0526175040905952,12.028682035022,0.269517395142848,7.70166483832747,NA,NA,7.70166483832747,1
8,548,552,555,8,"2013-08-25","2013-08-29","2013-09-01",3.0859,4.2473,0.8036,24.6872,1.6843,2.8419,0.7977,13.4741,24.6592,25.7684,0.7844,197.2739,0.653,0.6923,"Event 2013b","III Severe",25,62,12,0,"R",2013,"R_2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9,571,576,578,8,"2014-05-26","2014-05-31","2014-06-02",3.4264,4.335,0.7515,27.4113,1.1454,1.9885,0.6901,9.1634,21.5178,22.7979,1.1814,172.1428,0.4079,0.5175,NA,"I Moderate",100,0,0,0,"R",2014,"R_2014",0.720812464290419,-107.44450467145,0.250329678914228,259.499457727736,5.76649971432335,747.216408450103,NA,NA,747.216408450103,1
10,773,775,777,5,"2015-08-14","2015-08-16","2015-08-18",2.1086,2.7636,0.5142,10.5431,0.7457,1.4046,0.5149,3.7283,24.9348,25.593,0.5459,124.6738,0.6478,0.6629,"Event 2015","II Strong",80,20,0,0,"R",2015,"R_2015",-0.0538057511548984,15.3784390971524,0.0575511071908273,14.2099286369077,-0.430446009239187,-13.2851637698498,NA,NA,-13.2851637698498,1
