"event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","lake","year","lake_year","averageSlope","percentChange"
1,404,408,411,8,"2009-06-20","2009-06-24","2009-06-27",3.3331,4.8552,1.0487,26.6648,1.4997,3.0373,1.0635,11.9979,25.1808,26.784,1.2573,201.4466,0.7544,1.0218,"R",2009,"R_2009",-0.331128158343007,-175.017788319082
2,742,744,752,11,"2010-05-24","2010-05-26","2010-06-03",5.0353,6.1623,0.8025,55.3878,2.2111,3.1998,0.7529,24.3222,22.6249,23.467,0.7488,248.8734,1.1051,0.3742,"R",2010,"R_2010",0.286495770868848,103.931613228749
3,819,823,825,7,"2010-08-09","2010-08-13","2010-08-15",2.9954,3.7131,0.5925,20.9678,1.2555,1.9758,0.5951,8.7886,26.021,26.6784,0.5505,182.1471,0.4547,0.8028,"R",2010,"R_2010",-0.022910158356968,-7.14684820041783
4,1162,1165,1168,7,"2011-07-18","2011-07-21","2011-07-24",2.95,3.7545,0.6201,20.65,1.0812,1.892,0.622,7.5682,26.7932,27.6044,0.635,187.5525,0.5095,0.5628,"R",2011,"R_2011",0.155081138090506,112.091306907698
5,1890,1893,1895,6,"2013-07-15","2013-07-18","2013-07-20",3.7574,4.7735,0.925,22.5445,1.8686,2.8859,0.928,11.2118,27.6261,28.6459,0.9291,165.7569,0.791,0.9758,"R",2013,"R_2013",0.201283187326483,50.7933814898341
6,2208,2210,2212,5,"2014-05-29","2014-05-31","2014-06-02",4.2232,4.7762,0.6575,21.1162,1.4945,2.0528,0.7012,7.4725,22.1963,22.7979,0.9064,110.9813,0.7419,0.5287,"R",2014,"R_2014",0.440070345815237,114.021294492194
7,3664,3669,3672,9,"2018-05-24","2018-05-29","2018-06-01",5.3913,7.1046,1.3845,48.5213,2.5275,4.2967,1.4573,22.7479,22.7811,24.7125,1.6932,205.03,0.7419,1.0933,"R",2018,"R_2018",0.0025358844087339,0.926586913052056
8,3689,3694,3695,7,"2018-06-18","2018-06-23","2018-06-24",2.2207,2.5401,0.1721,15.5446,0.3595,0.7154,0.2094,2.5164,23.6908,24.3131,0.4767,165.8353,0.223,0.3529,"R",2018,"R_2018",0.0547501291907339,25.5977758056144
9,3700,3701,3712,13,"2018-06-29","2018-06-30","2018-07-11",2.5448,3.7291,0.47,33.0821,0.6048,1.8413,0.488,7.8619,25.8616,26.5259,0.3607,336.2008,1.0047,0.1944,"R",2018,"R_2018",0.0405239622819538,18.6831692095852
10,3743,3746,3752,10,"2018-08-11","2018-08-14","2018-08-20",2.3522,3.1582,0.463,23.5216,0.64,1.4271,0.4492,6.3997,25.141,26.0607,0.5941,251.4099,0.4292,0.2694,"R",2018,"R_2018",NA,NA
11,4100,4102,4104,5,"2019-08-03","2019-08-05","2019-08-07",2.1077,2.5526,0.3152,10.5386,0.3071,0.7523,0.3106,1.5353,25.5498,26.0002,0.3472,127.749,0.3879,0.3865,"R",2019,"R_2019",0.13634340897825,21.8902866147862
1,404,408,411,8,"2009-06-20","2009-06-24","2009-06-27",3.5411,5.0696,1.0138,28.3288,1.6927,3.239,1.0293,13.5419,25.3741,26.9836,1.2089,202.9926,0.7518,1.0473,"L",2009,"L_2009",-0.0472520822208493,-24.9750880902065
2,742,744,752,11,"2010-05-24","2010-05-26","2010-06-03",5.3094,6.3717,0.8702,58.4035,2.4435,3.4196,0.833,26.8785,22.922,24.0045,0.8465,252.1421,1.1087,0.3963,"L",2010,"L_2010",0.0273888751573012,9.93581849737751
3,819,823,825,7,"2010-08-09","2010-08-13","2010-08-15",2.9706,3.8308,0.6679,20.7943,1.2279,2.0842,0.667,8.5953,25.8773,26.6752,0.617,181.1413,0.5189,0.89,"L",2010,"L_2010",-0.0416909663164462,-13.0055411643085
4,1162,1165,1168,7,"2011-07-18","2011-07-21","2011-07-24",2.9583,3.9131,0.6704,20.7079,1.0547,2.0163,0.6723,7.3829,26.7635,27.7262,0.6873,187.3444,0.5744,0.6057,"L",2011,"L_2011",0.0653759104396203,47.2531433009019
5,1890,1893,1895,6,"2013-07-15","2013-07-18","2013-07-20",3.6594,4.5663,0.8176,21.9566,1.7316,2.6372,0.8181,10.3895,27.5016,28.4115,0.8212,165.0094,0.693,0.9129,"L",2013,"L_2013",-0.00813181979897711,-2.0520473207038
6,3664,3670,3672,9,"2018-05-24","2018-05-30","2018-06-01",5.3608,7.0823,1.4284,48.247,2.4548,4.2858,1.5055,22.093,22.7738,24.8707,1.7408,204.9641,0.6235,1.5577,"L",2018,"L_2018",-0.102688108806396,-37.5212124883789
7,3689,3694,3695,7,"2018-06-18","2018-06-23","2018-06-24",2.1273,2.3749,0.1173,14.8913,0.2519,0.5341,0.1471,1.7632,23.5817,24.1321,0.4142,165.0717,0.1766,0.3263,"L",2018,"L_2018",0.0382875007298462,17.900868442257
8,3700,3701,3708,9,"2018-06-29","2018-06-30","2018-07-07",2.6356,3.6314,0.4911,23.7207,0.6785,1.7283,0.5146,6.1064,25.7714,26.4201,0.4147,231.9426,1.0092,0.2054,"L",2018,"L_2018",0.0426433390848062,19.6602867764968
9,3743,3746,3751,9,"2018-08-11","2018-08-14","2018-08-19",2.3773,3.0805,0.4287,21.396,0.6523,1.3409,0.4162,5.871,25.0781,25.8598,0.5326,225.7025,0.3975,0.2371,"L",2018,"L_2018",NA,NA
10,4081,4082,4085,5,"2019-07-15","2019-07-16","2019-07-19",2.4327,2.6561,0.2476,12.1634,0.5012,0.7208,0.2437,2.5058,26.2778,26.5054,0.2505,131.3888,0.4134,0.1713,"L",2019,"L_2019",0.213717840366223,64.203420850848
1,50,53,54,5,"2013-07-05","2013-07-08","2013-07-09",2.4056,2.9916,0.4927,12.028,0.515,1.0683,0.4537,2.5751,25.6279,26.3043,0.6158,128.1395,0.3931,0.7628,"T",2013,"T_2013",0.175493541488401,50.7081638262308
2,60,63,65,6,"2013-07-15","2013-07-18","2013-07-20",4.0626,5.1308,0.9516,24.3757,1.9565,3.0154,0.9401,11.7389,27.4355,28.4907,0.9365,164.6129,0.8366,0.9834,"T",2013,"T_2013",1.6120558941359,406.798854396951
3,375,381,383,9,"2014-05-26","2014-06-01","2014-06-03",3.4594,4.5478,0.8979,31.1349,1.464,2.6248,0.9458,13.1759,21.1991,22.6993,1.205,190.792,0.4421,1.091,"T",2014,"T_2014",0.354787510986971,96.6254353217225
4,800,802,804,5,"2015-07-25","2015-07-27","2015-07-29",3.0223,3.8377,0.6969,15.1113,0.895,1.7022,0.6903,4.4748,26.0391,26.8533,0.6863,130.1954,0.7449,0.782,"T",2015,"T_2015",0.336152759183726,74.8968376266318
5,820,822,824,5,"2015-08-14","2015-08-16","2015-08-18",3.0083,3.6607,0.6316,15.0415,0.9671,1.6159,0.6383,4.8356,24.9372,25.5887,0.6424,124.6862,0.6701,0.8006,"T",2015,"T_2015",0.240859051951419,55.1812171847261
