"period","daysAfter","mean_percent_change","sd_percent_change","number_percent_change","lake","median_percent_change"
"after heatwave",-14,24.5663554471869,58.2762736441147,22,"L",NA
"after heatwave",-13,17.4733479112762,55.7998266853828,27,"L",NA
"after heatwave",-12,11.7980178985626,58.6584196256403,32,"L",NA
"after heatwave",-11,6.66468195458316,56.8588083012862,37,"L",NA
"after heatwave",-10,9.07759494205966,55.1036475557358,41,"L",NA
"after heatwave",-9,9.48280248808526,52.7091982200738,45,"L",NA
"after heatwave",-8,4.60657984562506,53.9518617529002,49,"L",NA
"after heatwave",-7,-1.17513987948961,52.1048122009971,53,"L",NA
"after heatwave",-6,0.784127260004963,51.7852996582069,53,"L",NA
"after heatwave",-5,7.13785358209962,69.8494110478188,53,"L",NA
"after heatwave",-4,10.5419493989449,71.5100410211861,53,"L",NA
"after heatwave",-3,20.3739333132508,71.818975688086,53,"L",NA
"after heatwave",-2,25.2762922415285,70.0540662849895,53,"L",NA
"after heatwave",-1,32.5285736767424,70.983331162318,53,"L",NA
"after heatwave",0,27.2412405042249,56.2248600398692,53,"L",NA
"after heatwave",1,25.754803755386,57.1589204813924,53,"L",NA
"after heatwave",2,17.8626664207723,59.6869375070532,53,"L",NA
"after heatwave",3,16.5958480919676,59.5913733015472,53,"L",NA
"after heatwave",4,13.7736685988463,58.7037191712482,53,"L",NA
"after heatwave",5,23.0838260316612,85.4627110073403,53,"L",NA
"after heatwave",6,23.3275694629142,85.4391473209709,53,"L",NA
"after heatwave",7,19.7463712862762,84.872509508154,53,"L",NA
"after heatwave",8,14.8366043417599,86.9897508359946,53,"L",NA
"after heatwave",9,7.7903437676568,86.2617800753493,53,"L",NA
"after heatwave",10,-6.14584170516801,55.6296368043942,55,"L",NA
"after heatwave",11,-9.28286909374328,53.7992357277149,55,"L",NA
"after heatwave",12,6.64003623573179,80.7024588026873,55,"L",NA
"after heatwave",13,16.7320291738253,81.1225639970217,55,"L",NA
"after heatwave",14,21.8393013233281,81.1770613386271,55,"L",NA
"after heatwave",15,24.9859670288381,82.5749360079933,53,"L",NA
"after heatwave",16,27.8698794798865,82.0636266245098,52,"L",NA
"after heatwave",17,18.4919160834515,57.1708692002928,51,"L",NA
"after heatwave",18,13.0325246654852,54.4262416164013,50,"L",NA
"after heatwave",19,10.1290178514962,52.0856559107481,49,"L",NA
"after heatwave",20,7.70298135665264,51.3024978142033,48,"L",NA
"after heatwave",21,5.44027955821533,50.350664129189,48,"L",NA
"after heatwave",22,5.11631550127182,51.6417587574536,48,"L",NA
