"period","daysAfter","mean_percent_change","sd_percent_change","number_percent_change","lake","median_percent_change"
"after heatwave",-14,10.4742229245473,52.8600670938703,17,"L",NA
"after heatwave",-13,6.1075254602353,50.7599448850074,21,"L",NA
"after heatwave",-12,1.92660208198548,49.8219928796692,25,"L",NA
"after heatwave",-11,0.927248674939342,48.5227205461807,29,"L",NA
"after heatwave",-10,2.73362839762689,45.4664720365963,32,"L",NA
"after heatwave",-9,2.66916610648381,43.4042621829033,35,"L",NA
"after heatwave",-8,0.334334036630536,42.4988635791308,38,"L",NA
"after heatwave",-7,-0.707453015054676,41.6653412191544,41,"L",NA
"after heatwave",-6,-1.63088083373604,40.5940041425998,41,"L",NA
"after heatwave",-5,-3.93880877261877,41.1883648291681,41,"L",NA
"after heatwave",-4,-3.993325248502,41.3957388513179,41,"L",NA
"after heatwave",-3,0.333879796875454,40.9543352775614,41,"L",NA
"after heatwave",-2,4.24045011925262,40.685643616711,41,"L",NA
"after heatwave",-1,7.15989596432276,40.1492110749312,41,"L",NA
"after heatwave",0,8.61621945755,39.2341024980333,41,"L",NA
"after heatwave",1,8.98178653089696,38.8013398446685,41,"L",NA
"after heatwave",2,8.55800315280925,39.488249906771,41,"L",NA
"after heatwave",3,7.23727723611435,39.5030283914651,41,"L",NA
"after heatwave",4,7.77119969135238,39.8165504007478,41,"L",NA
"after heatwave",5,10.0856906066553,39.5096415120055,41,"L",NA
"after heatwave",6,11.8358939223744,39.4641263577616,41,"L",NA
"after heatwave",7,9.99371032905276,39.1561800102879,41,"L",NA
"after heatwave",8,8.46665640805652,38.9803907660588,41,"L",NA
"after heatwave",9,7.75964935099379,38.9043880573731,41,"L",NA
"after heatwave",10,6.38048304423356,38.3632544383708,42,"L",NA
"after heatwave",11,5.54600110910735,38.3196207914952,42,"L",NA
"after heatwave",12,8.53545545892205,39.3839422533137,42,"L",NA
"after heatwave",13,10.0282204686168,39.6200697964439,42,"L",NA
